energy_eV_rel_EF,Coact-Oads_16_347_down,Coact-Oads_16_347_up,Coact-Obridge_16_258_down,Coact-Obridge_16_258_up,neighbor-Obridge_51_258_down,neighbor-Obridge_51_258_up
-8.87218,0.84836,0.5633,0.10165,0.07866,0.03715,0.00052
-8.82206,0.1701,0.13254,0.62963,0.46865,0.22169,0.0036
-8.77193,0.20329,0.1056,0.96612,0.72165,0.33986,0.00562
-8.72180,0.99288,0.47499,0.28207,0.21793,0.09867,0.00187
-8.67168,1.09277,0.58098,0.02066,0.01935,0.00694,0.00024
-8.62155,0.46915,0.34823,0.01491,0.00913,0.00241,6e-05
-8.57143,0.42689,0.31533,0.28746,0.16724,0.04413,0.0009
-8.52130,1.16245,0.79931,1.00839,0.59202,0.15738,0.00298
-8.47118,1.4478,0.96483,0.68116,0.41095,0.11671,0.00167
-8.42105,0.58559,0.3838,0.21375,0.14582,0.03967,0.0003
-8.37093,0.1072,0.06866,0.42716,0.31567,0.05336,0.00018
-8.32080,0.02376,0.01917,1.47306,1.04859,0.20981,0.00204
-8.27068,0.0733,0.06549,1.58958,1.12655,0.22537,0.00219
-8.22055,0.40359,0.2298,0.70112,0.47493,0.06774,0.00081
-8.17043,1.2133,0.3964,0.68203,0.42561,0.03191,0.00147
-8.12030,2.15645,0.45211,0.28137,0.17755,0.08032,0.00906
-8.07018,1.58471,0.34366,0.08988,0.10131,0.84315,0.09297
-8.02005,0.62571,0.14774,0.2134,0.25719,2.3604,0.24574
-7.96992,0.31346,0.05154,0.2931,0.24837,1.86021,0.16245
-7.91980,0.24671,0.08667,0.37362,0.22937,1.30309,0.08183
-7.86967,0.30684,0.25735,0.21527,0.09036,0.60888,0.07369
-7.81955,0.45565,0.17166,0.25709,0.03825,0.37208,0.1025
-7.76942,0.64659,-0.05677,0.78386,0.08592,0.40826,0.19286
-7.71930,0.64571,0.01644,1.49879,0.18408,0.44306,0.31347
-7.66917,0.78625,0.26948,1.03384,0.16857,0.41855,0.2194
-7.61905,0.71748,0.38616,0.40319,0.09689,0.52801,0.13284
-7.56892,0.48299,0.34281,0.51677,0.17146,0.25948,0.12524
-7.51880,0.34736,0.25452,0.4624,0.1419,0.02053,0.06992
-7.46867,0.19489,0.13463,0.26783,0.0936,0.02142,0.03761
-7.41855,0.07521,0.03894,0.52097,0.19458,0.05319,0.03684
-7.36842,0.0537,-0.00271,0.94964,0.39698,0.06511,0.05847
-7.31830,0.02936,-0.00671,0.92308,0.4421,0.06095,0.06492
-7.26817,0.01225,0.01699,0.60789,0.20599,0.03345,0.04124
-7.21805,0.01526,0.04515,0.45104,0.07836,0.00018,0.03057
-7.16792,0.0145,0.03406,0.23398,0.08458,-0.10753,0.05213
-7.11779,0.01119,0.02149,0.2258,0.22518,-0.29578,0.11884
-7.06767,0.00875,0.0218,0.27554,0.41945,-0.13321,0.09057
-7.01754,0.00946,0.02553,0.20495,0.33009,0.02053,0.03714
-6.96742,0.02866,0.06443,0.10597,0.11371,0.0157,0.01516
-6.91729,0.04991,0.07204,0.06015,0.0343,0.01176,0.00069
-6.86717,0.07333,0.05604,0.05968,0.02582,0.00139,-0.01193
-6.81704,0.0943,0.08056,0.19064,0.12918,-0.08558,0.11236
-6.76692,0.07092,0.13105,0.25776,0.15827,-0.15105,0.18265
-6.71679,0.03507,0.20545,0.08889,0.05104,-0.05353,0.05417
-6.66667,0.0367,0.19149,0.01291,0.01068,0.01994,0.00484
-6.61654,0.07325,0.11673,0.01179,0.00221,0.14738,0.00221
-6.56642,0.07756,0.03088,0.01534,0.00468,0.45848,0.00447
-6.51629,0.04177,-0.02241,0.05407,-0.01832,0.35095,0.00757
-6.46617,0.02933,-0.00387,0.07224,-0.03112,0.07504,0.01335
-6.41604,0.06842,0.10458,0.04975,-0.01781,0.07718,0.09143
-6.36591,0.07994,0.27959,0.08496,-0.0495,0.21476,0.27755
-6.31579,0.02881,0.27568,0.05029,-0.03034,0.12354,0.16164
-6.26566,0.0089,0.12755,0.01257,-0.00312,0.01458,0.01829
-6.21554,0.01139,0.09942,0.01088,-0.00312,0.00834,0.00444
-6.16541,0.02305,0.09967,0.01895,-0.00742,0.02367,0.01141
-6.11529,0.02671,0.17251,0.02478,0.01768,0.05772,0.02242
-6.06516,0.01773,0.15718,0.07476,0.13912,0.34025,0.12577
-6.01504,0.00903,0.14222,0.11891,0.24846,0.64428,0.24231
-5.96491,0.00751,0.15826,0.04542,0.10081,0.27318,0.10499
-5.91479,0.00987,0.17487,-0.00559,0.04292,0.23441,0.08557
-5.86466,0.00523,0.2522,-0.02945,0.11612,0.703,0.26003
-5.81454,0.01171,0.27255,-0.00524,0.09059,0.49249,0.20009
-5.76441,0.02882,0.23523,-0.00677,0.02573,0.11772,0.12302
-5.71429,0.04902,0.17648,-0.03813,-0.00015,0.11547,0.25927
-5.66416,0.05295,0.13535,-0.03333,-0.00557,0.1126,0.30858
-5.61404,0.05658,0.1193,-0.02013,0.00411,0.10509,0.22531
-5.56391,0.06283,0.05943,-0.00671,0.014,0.09774,0.14558
-5.51378,0.06173,0.02247,-0.00603,0.02219,0.17202,0.34521
-5.46366,0.06399,0.0286,0.00909,0.02121,0.36152,0.6893
-5.41353,0.0503,0.01931,0.03631,0.0028,0.44817,0.56686
-5.36341,0.03327,-0.01697,0.04254,-0.01928,0.21411,0.35108
-5.31328,0.01892,-0.03013,0.04912,-0.01323,0.11393,0.34867
