system	fermi_level_eV	Al_p_total_extended_-8_4_center_absolute_eV	Al_p_total_extended_-8_4_center_relative_eV	Al_p_total_extended_-8_4_integrated_weight	Al_p_total_extended_-8_4_width_eV	Al_p_total_occupied_-8_0_center_absolute_eV	Al_p_total_occupied_-8_0_center_relative_eV	Al_p_total_occupied_-8_0_integrated_weight	Al_p_total_occupied_-8_0_width_eV	Co_d_total_extended_-8_4_center_absolute_eV	Co_d_total_extended_-8_4_center_relative_eV	Co_d_total_extended_-8_4_integrated_weight	Co_d_total_extended_-8_4_width_eV	Co_d_total_occupied_-8_0_center_absolute_eV	Co_d_total_occupied_-8_0_center_relative_eV	Co_d_total_occupied_-8_0_integrated_weight	Co_d_total_occupied_-8_0_width_eV	O_p_total_extended_-8_4_center_absolute_eV	O_p_total_extended_-8_4_center_relative_eV	O_p_total_extended_-8_4_integrated_weight	O_p_total_extended_-8_4_width_eV	O_p_total_occupied_-8_0_center_absolute_eV	O_p_total_occupied_-8_0_center_relative_eV	O_p_total_occupied_-8_0_integrated_weight	O_p_total_occupied_-8_0_width_eV
bare_Al16	-3.2622933900	-63.6411066	-60.37881321	7.723877924	256.6944764	-96.63718627	-93.37489288	6.13170586	396.2634389	-49.07303386	-45.81074047	445.7381367	194.9050509	-76.29039518	-73.02810179	353.8843294	309.9789277	-75.56905022	-72.30675683	729.8485456	306.9642366	-78.75872658	-75.49643319	711.7042416	320.4616041
bare_undoped	-3.4048605300									-49.47662172	-46.07176119	512.8647193	195.9218708	-69.78949295	-66.38463242	427.6240695	281.8048224	-71.44431834	-68.03945781	764.5212028	288.8640041	-74.79343141	-71.38857088	740.2183621	303.0400921
