system,Al16_Al51_p_extended_-8_4_center_absolute_eV,Al16_Al51_p_extended_-8_4_center_relative_eV,Al16_Al51_p_extended_-8_4_fermi_level_eV,Al16_Al51_p_extended_-8_4_integrated_weight,Al16_Al51_p_extended_-8_4_width_eV,Al16_Al51_p_occupied_-8_0_center_absolute_eV,Al16_Al51_p_occupied_-8_0_center_relative_eV,Al16_Al51_p_occupied_-8_0_fermi_level_eV,Al16_Al51_p_occupied_-8_0_integrated_weight,Al16_Al51_p_occupied_-8_0_width_eV,Al16_Co16_d_extended_-8_4_center_absolute_eV,Al16_Co16_d_extended_-8_4_center_relative_eV,Al16_Co16_d_extended_-8_4_fermi_level_eV,Al16_Co16_d_extended_-8_4_integrated_weight,Al16_Co16_d_extended_-8_4_width_eV,Al16_Co16_d_occupied_-8_0_center_absolute_eV,Al16_Co16_d_occupied_-8_0_center_relative_eV,Al16_Co16_d_occupied_-8_0_fermi_level_eV,Al16_Co16_d_occupied_-8_0_integrated_weight,Al16_Co16_d_occupied_-8_0_width_eV,Al16_O258_p_extended_-8_4_center_absolute_eV,Al16_O258_p_extended_-8_4_center_relative_eV,Al16_O258_p_extended_-8_4_fermi_level_eV,Al16_O258_p_extended_-8_4_integrated_weight,Al16_O258_p_extended_-8_4_width_eV,Al16_O258_p_occupied_-8_0_center_absolute_eV,Al16_O258_p_occupied_-8_0_center_relative_eV,Al16_O258_p_occupied_-8_0_fermi_level_eV,Al16_O258_p_occupied_-8_0_integrated_weight,Al16_O258_p_occupied_-8_0_width_eV,Al16_O259_p_extended_-8_4_center_absolute_eV,Al16_O259_p_extended_-8_4_center_relative_eV,Al16_O259_p_extended_-8_4_fermi_level_eV,Al16_O259_p_extended_-8_4_integrated_weight,Al16_O259_p_extended_-8_4_width_eV,Al16_O259_p_occupied_-8_0_center_absolute_eV,Al16_O259_p_occupied_-8_0_center_relative_eV,Al16_O259_p_occupied_-8_0_fermi_level_eV,Al16_O259_p_occupied_-8_0_integrated_weight,Al16_O259_p_occupied_-8_0_width_eV,Al16_O294_p_extended_-8_4_center_absolute_eV,Al16_O294_p_extended_-8_4_center_relative_eV,Al16_O294_p_extended_-8_4_fermi_level_eV,Al16_O294_p_extended_-8_4_integrated_weight,Al16_O294_p_extended_-8_4_width_eV,Al16_O294_p_occupied_-8_0_center_absolute_eV,Al16_O294_p_occupied_-8_0_center_relative_eV,Al16_O294_p_occupied_-8_0_fermi_level_eV,Al16_O294_p_occupied_-8_0_integrated_weight,Al16_O294_p_occupied_-8_0_width_eV,undoped_Co21_d_extended_-8_4_center_absolute_eV,undoped_Co21_d_extended_-8_4_center_relative_eV,undoped_Co21_d_extended_-8_4_fermi_level_eV,undoped_Co21_d_extended_-8_4_integrated_weight,undoped_Co21_d_extended_-8_4_width_eV,undoped_Co21_d_occupied_-8_0_center_absolute_eV,undoped_Co21_d_occupied_-8_0_center_relative_eV,undoped_Co21_d_occupied_-8_0_fermi_level_eV,undoped_Co21_d_occupied_-8_0_integrated_weight,undoped_Co21_d_occupied_-8_0_width_eV,undoped_Co23_d_extended_-8_4_center_absolute_eV,undoped_Co23_d_extended_-8_4_center_relative_eV,undoped_Co23_d_extended_-8_4_fermi_level_eV,undoped_Co23_d_extended_-8_4_integrated_weight,undoped_Co23_d_extended_-8_4_width_eV,undoped_Co23_d_occupied_-8_0_center_absolute_eV,undoped_Co23_d_occupied_-8_0_center_relative_eV,undoped_Co23_d_occupied_-8_0_fermi_level_eV,undoped_Co23_d_occupied_-8_0_integrated_weight,undoped_Co23_d_occupied_-8_0_width_eV,undoped_O258_p_extended_-8_4_center_absolute_eV,undoped_O258_p_extended_-8_4_center_relative_eV,undoped_O258_p_extended_-8_4_fermi_level_eV,undoped_O258_p_extended_-8_4_integrated_weight,undoped_O258_p_extended_-8_4_width_eV,undoped_O258_p_occupied_-8_0_center_absolute_eV,undoped_O258_p_occupied_-8_0_center_relative_eV,undoped_O258_p_occupied_-8_0_fermi_level_eV,undoped_O258_p_occupied_-8_0_integrated_weight,undoped_O258_p_occupied_-8_0_width_eV,undoped_O259_p_extended_-8_4_center_absolute_eV,undoped_O259_p_extended_-8_4_center_relative_eV,undoped_O259_p_extended_-8_4_fermi_level_eV,undoped_O259_p_extended_-8_4_integrated_weight,undoped_O259_p_extended_-8_4_width_eV,undoped_O259_p_occupied_-8_0_center_absolute_eV,undoped_O259_p_occupied_-8_0_center_relative_eV,undoped_O259_p_occupied_-8_0_fermi_level_eV,undoped_O259_p_occupied_-8_0_integrated_weight,undoped_O259_p_occupied_-8_0_width_eV,undoped_O294_p_extended_-8_4_center_absolute_eV,undoped_O294_p_extended_-8_4_center_relative_eV,undoped_O294_p_extended_-8_4_fermi_level_eV,undoped_O294_p_extended_-8_4_integrated_weight,undoped_O294_p_extended_-8_4_width_eV,undoped_O294_p_occupied_-8_0_center_absolute_eV,undoped_O294_p_occupied_-8_0_center_relative_eV,undoped_O294_p_occupied_-8_0_fermi_level_eV,undoped_O294_p_occupied_-8_0_integrated_weight,undoped_O294_p_occupied_-8_0_width_eV
Al16,-6.40327609,-3.14136345,-3.26191264,0.74492113,3.65960184,-8.16863733,-4.90672469,-3.26191264,0.58336342,1.63111215,-5.87793776,-2.61602512,-3.26191264,5.71690992,4.07427328,-8.46545913,-5.20354649,-3.26191264,3.73935664,2.39695485,-8.07356908,-4.81165644,-3.26191264,4.63318312,2.18057380,-8.31160587,-5.04969323,-3.26191264,4.49583002,1.72312479,-7.70192982,-4.44001718,-3.26191264,4.54962740,1.92984026,-7.81192424,-4.55001160,-3.26191264,4.48528082,1.70811668,-6.00459104,-2.74267840,-3.26191264,5.40318261,2.44409966,-6.29662483,-3.03471219,-3.26191264,5.11115850,2.16002599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
undoped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.17269184,-2.76828518,-3.40440666,5.87547982,3.96211026,-8.71422523,-5.30981857,-3.40440666,3.84804145,2.22670212,-5.45423281,-2.04982615,-3.40440666,4.39593208,3.41702668,-7.09500086,-3.69059420,-3.40440666,3.39554531,1.79263143,-7.21046735,-3.80606069,-3.40440666,5.29224285,2.15208125,-7.34056068,-3.93615402,-3.40440666,5.17816267,1.98017869,-7.01542456,-3.61101790,-3.40440666,5.32450602,2.21360520,-7.06549404,-3.66108738,-3.40440666,5.28009411,2.14938418,-6.24504326,-2.84063660,-3.40440666,5.44132472,2.44158414,-6.64279646,-3.23838980,-3.40440666,4.95292802,2.14402639
