system,state,site_role,orbital,spin,window,Emin_eV,Emax_eV,integrated_PDOS
pristine,*O,Coact,dyz,up,unoccupied 0 to 1 eV,0.0,1.0,0.03509675948000001
pristine,*O,Coact,dyz,down,occupied -2 to 0 eV,-2.0,0.0,0.017383076399999996
pristine,*O,Coact,dyz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0037848452
pristine,*O,Coact,dyz,down,unoccupied 0 to 1 eV,0.0,1.0,0.004043002959999999
pristine,*O,Coact,dz2,up,occupied -2 to 0 eV,-2.0,0.0,0.011086214399999999
pristine,*O,Coact,dz2,up,near-EF -1 to 0 eV,-1.0,0.0,0.0013742824000000002
pristine,*O,Coact,dz2,up,unoccupied 0 to 1 eV,0.0,1.0,0.000343073808275
pristine,*O,Coact,dz2,down,occupied -2 to 0 eV,-2.0,0.0,0.13655059371999997
pristine,*O,Coact,dz2,down,near-EF -1 to 0 eV,-1.0,0.0,0.0026427017200000005
pristine,*O,Coact,dz2,down,unoccupied 0 to 1 eV,0.0,1.0,0.00463567835
pristine,*O,Coact,dxz,up,occupied -2 to 0 eV,-2.0,0.0,0.078969242
pristine,*O,Coact,dxz,up,near-EF -1 to 0 eV,-1.0,0.0,0.06170534
pristine,*O,Coact,dxz,up,unoccupied 0 to 1 eV,0.0,1.0,0.073309589755
pristine,*O,Coact,dxz,down,occupied -2 to 0 eV,-2.0,0.0,0.0266897956
pristine,*O,Coact,dxz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0074326696000000005
pristine,*O,Coact,dxz,down,unoccupied 0 to 1 eV,0.0,1.0,0.00715522249
pristine,*O,Coact,dx2-y2,up,occupied -2 to 0 eV,-2.0,0.0,0.052223938000000004
pristine,*O,Coact,dx2-y2,up,near-EF -1 to 0 eV,-1.0,0.0,0.041110262
pristine,*O,Coact,dx2-y2,up,unoccupied 0 to 1 eV,0.0,1.0,0.0200382932385
pristine,*O,Coact,dx2-y2,down,occupied -2 to 0 eV,-2.0,0.0,0.04588308648999999
pristine,*O,Coact,dx2-y2,down,near-EF -1 to 0 eV,-1.0,0.0,0.0017446769500000004
pristine,*O,Coact,dx2-y2,down,unoccupied 0 to 1 eV,0.0,1.0,0.025388533899999993
pristine,*O,Oads,px,up,occupied -2 to 0 eV,-2.0,0.0,0.22845783
pristine,*O,Oads,px,up,near-EF -1 to 0 eV,-1.0,0.0,0.11178946
pristine,*O,Oads,px,up,unoccupied 0 to 1 eV,0.0,1.0,0.072459265416
pristine,*O,Oads,px,down,occupied -2 to 0 eV,-2.0,0.0,0.036406699
pristine,*O,Oads,px,down,near-EF -1 to 0 eV,-1.0,0.0,0.026834793
pristine,*O,Oads,px,down,unoccupied 0 to 1 eV,0.0,1.0,0.1493016135
pristine,*O,Oads,py,up,occupied -2 to 0 eV,-2.0,0.0,0.228192149
pristine,*O,Oads,py,up,near-EF -1 to 0 eV,-1.0,0.0,0.06939498
pristine,*O,Oads,py,up,unoccupied 0 to 1 eV,0.0,1.0,0.025743175847499997
pristine,*O,Oads,py,down,occupied -2 to 0 eV,-2.0,0.0,0.0402770002
pristine,*O,Oads,py,down,near-EF -1 to 0 eV,-1.0,0.0,0.0166147845
pristine,*O,Oads,py,down,unoccupied 0 to 1 eV,0.0,1.0,0.2936670925
pristine,*O,Oads,pz,up,occupied -2 to 0 eV,-2.0,0.0,0.29723487400000004
pristine,*O,Oads,pz,up,near-EF -1 to 0 eV,-1.0,0.0,0.10855010400000001
pristine,*O,Oads,pz,up,unoccupied 0 to 1 eV,0.0,1.0,0.051361790974999995
pristine,*O,Oads,pz,down,occupied -2 to 0 eV,-2.0,0.0,0.17427227499999998
pristine,*O,Oads,pz,down,near-EF -1 to 0 eV,-1.0,0.0,0.06814878499999999
pristine,*O,Oads,pz,down,unoccupied 0 to 1 eV,0.0,1.0,0.07375321561
Al16,*OH,Coact,dxy,up,occupied -2 to 0 eV,-2.0,0.0,0.07519647709999999
Al16,*OH,Coact,dxy,up,near-EF -1 to 0 eV,-1.0,0.0,0.0715270495
Al16,*OH,Coact,dxy,up,unoccupied 0 to 1 eV,0.0,1.0,-0.00023141757877164203
Al16,*OH,Coact,dxy,down,occupied -2 to 0 eV,-2.0,0.0,0.10123993674999997
Al16,*OH,Coact,dxy,down,near-EF -1 to 0 eV,-1.0,0.0,0.0010666857499999985
Al16,*OH,Coact,dxy,down,unoccupied 0 to 1 eV,0.0,1.0,0.00073487329185
Al16,*OH,Coact,dyz,up,occupied -2 to 0 eV,-2.0,0.0,0.17641398449999995
Al16,*OH,Coact,dyz,up,near-EF -1 to 0 eV,-1.0,0.0,0.16887615399999997
Al16,*OH,Coact,dyz,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0009639956107827476
Al16,*OH,Coact,dyz,down,occupied -2 to 0 eV,-2.0,0.0,0.03957082137399998
Al16,*OH,Coact,dyz,down,near-EF -1 to 0 eV,-1.0,0.0,0.00013784237399999983
Al16,*OH,Coact,dyz,down,unoccupied 0 to 1 eV,0.0,1.0,5.557109751000001e-05
Al16,*OH,Coact,dz2,up,occupied -2 to 0 eV,-2.0,0.0,0.0073267539149999995
Al16,*OH,Coact,dz2,up,near-EF -1 to 0 eV,-1.0,0.0,0.0020097685650000002
Al16,*OH,Coact,dz2,up,unoccupied 0 to 1 eV,0.0,1.0,-7.2492075730370495e-06
Al16,*OH,Coact,dz2,down,occupied -2 to 0 eV,-2.0,0.0,0.13738344664149993
Al16,*OH,Coact,dz2,down,near-EF -1 to 0 eV,-1.0,0.0,9.849709149999979e-05
Al16,*OH,Coact,dz2,down,unoccupied 0 to 1 eV,0.0,1.0,-1.9968493599999994e-05
Al16,*OH,Coact,dxz,up,occupied -2 to 0 eV,-2.0,0.0,0.16404705
Al16,*OH,Coact,dxz,up,near-EF -1 to 0 eV,-1.0,0.0,0.11757505999999998
Al16,*OH,Coact,dxz,up,unoccupied 0 to 1 eV,0.0,1.0,-0.000483522224951751
Al16,*OH,Coact,dxz,down,occupied -2 to 0 eV,-2.0,0.0,0.02317202439999999
Al16,*OH,Coact,dxz,down,near-EF -1 to 0 eV,-1.0,0.0,0.0014967034
Al16,*OH,Coact,dxz,down,unoccupied 0 to 1 eV,0.0,1.0,0.0030869589884699993
Al16,*OH,Coact,dx2-y2,up,occupied -2 to 0 eV,-2.0,0.0,0.0643527499
