system,neighbor_element,spin_up_integral_states,spin_down_integral_states,total_integral_states,energy_window_eV
Pristine CoOOH,Co,0.764891,1.684638,2.449529,-2.0 to +0.5 relative to EF
Al-substituted CoOOH,Al,0.004904,0.007538,0.012442,-2.0 to +0.5 relative to EF
