"energy_eV_rel_EF","Oads_p_down","Obridge_p_up","Obridge_p_down","Co_d_down","Co_d_up","Oads_p_up"
"-7.91322","-1.6998999999999998E-05","0.033849000000000004","-0.0017475100000000001","-0.00047653099999999998","0.055382800000000003","0.0034122000000000002"
"-7.80722","3.8155000000000003E-05","0.051901999999999997","0.0049679000000000008","0.0015954490000000001","0.75081500000000001","0.039160500000000001"
"-7.70122","0.00021787","0.047446000000000002","0.0247596","0.007064688999999999","1.7102029999999999","0.085948000000000011"
"-7.59622","0.00041283999999999998","0.058485999999999996","0.042499000000000002","0.011012620000000001","1.796732","0.083811999999999998"
"-7.49022","0.00047570000000000002","0.19156999999999999","0.043208000000000003","0.010961459999999999","1.5377999999999998","0.060600000000000001"
"-7.38422","0.00048239999999999996","0.48647999999999997","0.041753999999999999","0.0162226","2.5649000000000002","0.11266000000000001"
"-7.27822","0.0005287","0.65398999999999996","0.054368","0.035904099999999994","4.1087999999999996","0.21576000000000001"
"-7.17222","0.00052769000000000004","0.45121999999999995","0.076269000000000003","0.060605199999999998","3.9846999999999997","0.24293999999999999"
"-7.06622","0.00079699999999999997","0.15789","0.126249","0.074972999999999998","2.5156000000000001","0.18232999999999999"
"-6.96022","0.0028115999999999996","0.058619999999999998","0.27478999999999998","0.096380999999999994","1.5880999999999998","0.13402"
"-6.85422","0.0068145000000000002","0.096244999999999997","0.45763999999999999","0.13606799999999999","1.4601199999999999","0.13245000000000001"
"-6.74822","0.0094959999999999992","0.13670400000000002","0.46736","0.1583","1.3435899999999998","0.13038"
"-6.64222","0.0095340000000000008","0.15583","0.38697000000000004","0.15296000000000001","0.93862000000000012","0.095177999999999999"
"-6.53622","0.010747000000000001","0.28861999999999999","0.39692","0.14591999999999999","0.57837000000000005","0.057815000000000005"
"-6.43022","0.016413999999999998","0.53466999999999998","0.42788999999999999","0.15639999999999998","0.51862000000000008","0.055446000000000002"
"-6.32422","0.023178500000000001","0.61697999999999997","0.51534999999999997","0.18390000000000001","0.49585999999999997","0.071660000000000001"
"-6.21822","0.0217123","0.51468999999999998","0.60211999999999999","0.17487999999999998","0.39361000000000002","0.079230000000000009"
"-6.11222","0.0119968","0.38274999999999998","0.44878000000000001","0.111237","0.42677999999999999","0.079899999999999999"
"-6.00622","0.0055259999999999997","0.2964","0.20213999999999999","0.067552000000000015","0.60482999999999998","0.09869"
"-5.90022","0.0056816000000000002","0.25916","0.097060000000000007","0.072696999999999998","0.61512999999999995","0.11442000000000001"
"-5.79522","0.0062021999999999997","0.16426000000000002","0.074360000000000009","0.077876000000000015","0.33241999999999999","0.077970000000000012"
"-5.68922","0.00496","0.061380000000000004","0.0688","0.073589000000000002","0.088808999999999999","0.026206"
"-5.58322","0.0039719000000000004","0.052684000000000002","0.073190000000000005","0.078053999999999998","0.068905999999999995","0.0091479999999999999"
"-5.47722","0.0029345999999999999","0.101148","0.053170000000000002","0.062016999999999996","0.14751","0.017269"
"-5.37122","0.0013535999999999999","0.14968900000000002","0.018581","0.0241111","0.20075999999999999","0.033468999999999999"
"-5.26522","0.00071739000000000004","0.19381999999999999","0.014368200000000001","0.012591499999999999","0.21259","0.060350000000000001"
"-5.15922","-0.00080280000000000011","0.23137999999999997","0.025441999999999999","0.022495200000000003","0.22248000000000001","0.08882000000000001"
"-5.05322","-0.0095811999999999998","0.21893000000000001","-0.0073039999999999997","0.0033671","0.24015","0.093100000000000016"
"-4.94722","-0.0086290000000000013","0.17563999999999999","-0.02299","-0.010999566999999998","0.26590000000000003","0.10015"
"-4.84122","0.077829999999999996","0.1724","0.26919999999999999","0.15582099999999999","0.31989999999999996","0.13804"
"-4.73522","0.24586","0.19351000000000002","0.87070000000000003","0.5028490000000001","0.43106999999999995","0.14621000000000001"
"-4.62922","0.28926999999999997","0.202989","1.0660000000000001","0.61649500000000002","0.63597000000000004","0.11559999999999999"
"-4.52322","0.16469","0.19917199999999999","0.65700000000000003","0.402665","0.81060999999999994","0.11577999999999999"
"-4.41722","0.07175999999999999","0.17157500000000001","0.26583000000000001","0.21792699999999998","0.81879999999999997","0.12153"
"-4.31122","0.082309999999999994","0.13788899999999998","0.13619000000000001","0.17446499999999998","0.87660000000000005","0.093810000000000004"
"-4.20522","0.13253999999999999","0.15991","0.16397","0.211257","0.97850000000000004","0.070550000000000002"
"-4.10022","0.13627","0.23863000000000001","0.22515000000000002","0.242588","0.81052999999999997","0.067140000000000005"
"-3.99422","0.10331","0.27567000000000003","0.23458999999999999","0.25638","0.48561999999999994","0.066230000000000011"
"-3.88822","0.11171","0.22355","0.205206","0.33577000000000001","0.26172000000000001","0.063399999999999998"
"-3.78222","0.22389000000000001","0.18525","0.16566600000000001","0.52446999999999999","0.199104","0.099299999999999999"
"-3.67622","0.53949999999999998","0.29835","0.16541","0.8250900000000001","0.29010999999999998","0.21445"
"-3.57022","0.94790000000000008","0.48948000000000003","0.31201000000000001","1.04759","0.43888899999999997","0.31877"
"-3.46422","1.0444","0.52090000000000003","0.55385000000000006","0.99137999999999993","0.50883199999999995","0.36836999999999998"
"-3.35822","0.71330000000000005","0.35870999999999997","0.64210000000000012","0.73740000000000006","0.56489","0.56847000000000003"
"-3.25222","0.33018000000000003","0.20714999999999997","0.52004000000000006","0.54122000000000003","0.69070000000000009","0.95053999999999994"
"-3.14622","0.16192999999999999","0.19835999999999998","0.34082000000000001","0.52878000000000003","0.72239999999999993","1.1080699999999999"
"-3.04022","0.14283999999999999","0.26395999999999997","0.21312999999999999","0.57069000000000003","0.55152999999999996","0.84510000000000007"
"-2.93422","0.19161999999999998","0.27549000000000001","0.21013999999999999","0.57891999999999999","0.32190999999999997","0.47728999999999999"
"-2.82822","0.26922000000000001","0.21672999999999998","0.34725","0.60923000000000005","0.17571999999999999","0.25111"
"-2.72222","0.28760999999999998","0.15771000000000002","0.50843000000000005","0.64034000000000002","0.13072","0.18664999999999998"
"-2.61622","0.22031000000000001","0.12461","0.52423000000000008","0.60399000000000003","0.16139000000000001","0.28322000000000003"
"-2.51022","0.15203","0.10621999999999999","0.37603000000000003","0.52354000000000001","0.21252000000000001","0.44498000000000004"
