"energy_eV_rel_EF","Oads_p_down","Obridge_p_up","Obridge_p_down","Co_d_down","Co_d_up","Oads_p_up"
"-7.90063","-0.000119486","0.0096380000000000007","-0.00080515000000000003","-0.000413671","-0.084948999999999997","-0.0102679"
"-7.79563","0.00040015014000000003","0.038862999999999995","0.0023955000000000001","0.00154586","0.30767999999999995","0.0246532"
"-7.68963","0.00182862","0.099159999999999998","0.011738699999999999","0.0065821999999999999","1.4898799999999999","0.14256099999999999"
"-7.58463","0.0031084400000000001","0.13266","0.0211457","0.010470199999999999","2.3558699999999999","0.24295900000000001"
"-7.47863","0.0034121000000000004","0.10025000000000001","0.024167999999999999","0.011063","2.0391499999999998","0.21024999999999999"
"-7.37363","0.0042036999999999995","0.14517000000000002","0.025847199999999997","0.016300500000000002","2.1239999999999997","0.14618"
"-7.26763","0.0069360999999999997","0.36013000000000001","0.031806000000000001","0.034696899999999996","3.3748","0.14796000000000001"
"-7.16263","0.0097019999999999988","0.50851000000000002","0.038598","0.059383000000000005","4.2603999999999997","0.17191000000000001"
"-7.05663","0.0091710000000000003","0.38144","0.044360999999999998","0.070682999999999996","3.6029","0.15787000000000001"
"-6.95163","0.011887","0.16531000000000001","0.074345000000000008","0.072447999999999999","2.3177099999999999","0.12167"
"-6.84563","0.033207","0.062828999999999996","0.15190999999999999","0.097883999999999999","1.57335","0.102812"
"-6.74063","0.064200000000000007","0.037682","0.21512000000000001","0.14613300000000001","1.1133899999999999","0.087968999999999992"
"-6.63463","0.071639999999999995","0.022960000000000001","0.21710000000000002","0.15978599999999998","0.63807999999999998","0.062075000000000005"
"-6.52963","0.060691000000000002","0.045089999999999998","0.23605999999999999","0.12595600000000001","0.30327999999999999","0.038343000000000002"
"-6.42463","0.068950000000000011","0.16627","0.25023000000000001","0.10346","0.23181000000000002","0.038605"
"-6.31863","0.092789999999999997","0.34933000000000003","0.22320000000000001","0.118302","0.32879000000000003","0.051850000000000007"
"-6.21363","0.090299999999999991","0.54705999999999999","0.39418000000000003","0.13382100000000002","0.38940000000000002","0.049591999999999997"
"-6.10763","0.056210000000000003","0.65481","0.78136000000000005","0.12521599999999999","0.39743000000000001","0.041966000000000003"
"-6.00263","0.047336000000000003","0.51191999999999993","0.88462000000000007","0.10451000000000002","0.53410000000000002","0.057518"
"-5.89663","0.088639999999999997","0.33045000000000002","0.57013000000000003","0.078195000000000001","0.87044999999999995","0.098206000000000002"
"-5.79163","0.108496","0.24493000000000001","0.2407","0.044297000000000003","0.91666999999999998","0.10341900000000001"
"-5.68563","0.057853999999999996","0.129944","0.11810999999999999","0.018397100000000003","0.48359999999999997","0.052762199999999995"
"-5.58063","0.094318999999999986","0.047229999999999994","0.13946","0.057652000000000002","0.14419100000000001","0.018126000000000003"
"-5.47463","0.52381999999999995","0.070007199999999992","0.14255000000000001","0.23721900000000004","0.119132","0.034840999999999997"
"-5.36963","1.0826100000000001","0.16533100000000001","0.075578999999999993","0.43713199999999997","0.19545999999999999","0.087329999999999991"
"-5.26363","0.96010000000000006","0.28509000000000001","0.020762000000000003","0.37357300000000004","0.26900999999999997","0.15670000000000001"
"-5.15863","0.37082999999999999","0.34217999999999998","0.014471999999999999","0.145979","0.30886999999999998","0.18729000000000001"
"-5.05363","0.073827000000000004","0.29959000000000002","0.022081","0.035011899999999999","0.31449000000000005","0.15866"
"-4.94763","0.024869000000000002","0.23956","0.012191","0.013334199999999999","0.39587","0.16938999999999999"
"-4.84263","0.00012770000000000012","0.21723000000000003","-0.006515","-0.0020070999999999999","0.57014999999999993","0.22530999999999998"
"-4.73663","-0.0078709999999999995","0.2104","-0.0040399999999999993","-0.0057030999999999991","0.80386999999999997","0.21285000000000001"
"-4.63163","0.0038509999999999994","0.21374000000000001","0.057893999999999994","0.0146254","1.1230000000000002","0.1784"
"-4.52563","0.027585999999999999","0.20488999999999999","0.18071999999999999","0.065363000000000004","1.2617","0.22372"
"-4.42063","0.049790000000000001","0.15814","0.32140000000000002","0.14169999999999999","1.0549999999999999","0.30246000000000001"
"-4.31463","0.05185","0.12056","0.42518","0.21951999999999999","0.87134","0.35875000000000001"
