"energy_eV_rel_EF","Oads_p_down","Obridge_p_up","Obridge_p_down","Co_d_down","Co_d_up","Oads_p_up"
"-7.95883","0.00059069999999999999","0.44625999999999999","0.73371000000000008","0.037254999999999996","1.5156299999999998","0.083349999999999994"
"-7.84883","0.00068159999999999998","0.26438","0.66225000000000001","0.040992000000000001","2.4688699999999999","0.13916000000000001"
"-7.73783","0.0011540000000000001","0.21662999999999999","0.54137000000000002","0.049866000000000001","2.3969300000000002","0.14306999999999997"
"-7.62783","0.0018151999999999999","0.15271000000000001","0.48983999999999994","0.064559000000000005","1.4516799999999999","0.084150000000000003"
"-7.51683","0.0018391","0.10804999999999999","0.32255","0.054251000000000001","0.94241300000000006","0.038034999999999999"
"-7.40583","0.0013080100000000001","0.11196","0.12812999999999999","0.024775999999999999","1.2059800000000001","0.049480999999999997"
"-7.29583","0.00168161","0.19549","0.075815999999999995","0.010629500000000002","1.5878399999999999","0.093790000000000012"
"-7.18483","0.0043397100000000001","0.29686999999999997","0.15223500000000001","0.015691999999999998","1.6644999999999999","0.12746000000000002"
"-7.07483","0.00679191","0.26305000000000001","0.20891400000000002","0.031109899999999999","1.2883599999999999","0.10403999999999999"
"-6.96383","0.0080550999999999991","0.20594999999999999","0.17969499999999999","0.097892999999999994","1.0058799999999999","0.070730000000000001"
"-6.85383","0.011480000000000001","0.28924","0.19333899999999998","0.20800099999999999","1.5549999999999999","0.11129"
"-6.74283","0.011308","0.36963999999999997","0.20860600000000001","0.19742000000000001","1.9461999999999999","0.15256999999999998"
"-6.63283","0.0053271999999999998","0.34648000000000001","0.14409","0.076280000000000001","1.4465500000000002","0.12586"
"-6.52183","0.0030188000000000003","0.28403","0.10605000000000001","0.026591","0.91545999999999983","0.093472"
"-6.41083","0.0061771999999999999","0.22256000000000001","0.11124999999999999","0.058205","0.81930000000000003","0.097050000000000011"
"-6.30083","0.0071195","0.17498999999999998","0.089434000000000013","0.069398000000000001","0.79830000000000001","0.099473999999999993"
"-6.18983","0.0038312999999999997","0.13127","0.064625000000000002","0.037762000000000004","0.57452999999999999","0.071922999999999987"
"-6.07983","0.00253346","0.10034000000000001","0.1341137","0.0313668","0.35160999999999998","0.049854999999999997"
"-5.96883","0.0034395800000000002","0.099900000000000003","0.24672399999999997","0.066147999999999998","0.30238999999999999","0.062530000000000002"
"-5.85883","0.0036424999999999999","0.12423000000000001","0.29871400000000004","0.10271500000000001","0.34166000000000007","0.088409999999999989"
"-5.74783","0.0043352","0.15464","0.29204000000000002","0.102067","0.34177000000000002","0.086379999999999998"
"-5.63783","0.0068989999999999998","0.15905","0.28128999999999998","0.077575000000000005","0.29869000000000001","0.057589999999999995"
"-5.52683","0.012574999999999999","0.14080000000000001","0.36129999999999995","0.091566400000000006","0.28637000000000001","0.041819999999999996"
"-5.41583","0.019703999999999999","0.14845","0.50429999999999997","0.13331599999999999","0.29221799999999998","0.057439999999999998"
"-5.30583","0.025121999999999998","0.17302000000000001","0.60150000000000003","0.15307099999999998","0.25374000000000002","0.069849999999999995"
"-5.19483","0.026398999999999999","0.1913","0.63539999999999996","0.15634399999999998","0.19890000000000002","0.050630000000000008"
"-5.08483","0.020317999999999999","0.22184999999999999","0.49209999999999998","0.12683900000000001","0.18476000000000001","0.031863000000000002"
"-4.97383","0.015814999999999999","0.25868999999999998","0.25553999999999999","0.077727000000000004","0.19947999999999999","0.037125999999999999"
"-4.86383","0.021680000000000001","0.30979000000000001","0.23654","0.081299999999999997","0.22403999999999999","0.054030000000000002"
"-4.75283","0.029025000000000002","0.40159","0.36507000000000001","0.13145299999999999","0.30118999999999996","0.079460000000000003"
"-4.64283","0.027255000000000001","0.47074000000000005","0.33490999999999999","0.14577699999999999","0.51102999999999998","0.12386"
"-4.53183","0.021699999999999997","0.46111000000000002","0.28275","0.122042","0.86285999999999996","0.17558000000000001"
"-4.42083","0.024","0.42508000000000001","0.41664000000000001","0.12881599999999999","1.1284999999999998","0.19495000000000001"
"-4.31083","0.030296999999999998","0.40390999999999999","0.48969000000000001","0.15098900000000001","1.0462","0.17613000000000001"
"-4.19983","0.035848999999999999","0.35985999999999996","0.34395999999999999","0.14856999999999998","0.70718000000000003","0.14752999999999999"
"-4.08983","0.053069000000000005","0.29379","0.28556999999999999","0.16733700000000001","0.41449000000000003","0.11151"
"-3.97883","0.085320000000000007","0.28885","0.47647999999999996","0.25372","0.33405000000000001","0.071349999999999997"
