"energy_eV_rel_EF","Oads_p_down","Obridge_p_up","Obridge_p_down","Co_d_down","Co_d_up","Oads_p_up"
"-7.94016","0.0021511999999999998","0.61556999999999995","0.67964000000000002","0.033886700000000006","1.9037899999999999","0.15526400000000001"
"-7.83016","0.0023798000000000001","0.28558","0.69367999999999996","0.0379776","2.7400200000000003","0.20411000000000001"
"-7.72016","0.0028307000000000002","0.15153","0.55647999999999997","0.036666000000000004","2.7844500000000001","0.15096100000000001"
"-7.60916","0.0032266","0.10261000000000001","0.50615999999999994","0.047682000000000002","2.1776300000000002","0.077060000000000003"
"-7.49916","0.0028957000000000002","0.10636000000000001","0.40164","0.054994000000000001","1.7597599999999998","0.075539999999999996"
"-7.38916","0.0022287000000000001","0.11887","0.21571000000000001","0.038220999999999998","1.667268","0.13062000000000001"
"-7.27816","0.0022608999999999997","0.14807000000000001","0.089810000000000001","0.016529000000000002","1.3577400000000002","0.16711999999999999"
"-7.16816","0.0058450000000000004","0.17404","0.11100000000000002","0.011142299999999999","1.04233","0.14205999999999999"
"-7.05816","0.013169999999999999","0.17352000000000001","0.20868","0.018227999999999998","1.0348999999999999","0.088579999999999992"
"-6.94816","0.035012000000000001","0.23580000000000001","0.20699400000000001","0.053714999999999999","1.3402000000000001","0.090900000000000009"
"-6.83716","0.094850000000000004","0.30808999999999997","0.15629299999999999","0.15615600000000002","1.5114999999999998","0.11822299999999999"
"-6.72716","0.13214999999999999","0.27907999999999999","0.19012799999999999","0.220724","1.0800000000000001","0.08251"
"-6.61716","0.093659999999999993","0.25825999999999999","0.18790000000000001","0.13789199999999999","0.69077","0.032294999999999997"
"-6.50616","0.069093000000000002","0.27285999999999999","0.12475","0.040943","0.70304","0.033512"
"-6.39616","0.093524999999999997","0.25173000000000001","0.12010999999999999","0.021217599999999996","0.86899999999999999","0.070123999999999992"
"-6.28616","0.098254999999999995","0.19844000000000001","0.13195700000000002","0.0222691","0.96528000000000003","0.086885000000000004"
"-6.17516","0.050214000000000002","0.14252999999999999","0.081751699999999997","0.011745520000000001","0.79134000000000004","0.070234999999999992"
"-6.06516","-0.00082469999999999993","0.12006","0.080800999999999998","0.015549710000000001","0.53273999999999999","0.067875999999999992"
"-5.95516","-0.018726","0.13816000000000001","0.18887500000000002","0.058000600000000006","0.45355000000000001","0.09514800000000001"
"-5.84516","0.031063","0.15703999999999999","0.28383399999999998","0.136929","0.44629000000000002","0.110434"
"-5.73416","0.30442999999999998","0.16849","0.31430000000000002","0.24523700000000001","0.36286000000000002","0.090483000000000008"
"-5.62416","0.75465000000000004","0.19118000000000002","0.32823999999999998","0.33312599999999998","0.24742000000000003","0.066400000000000001"
"-5.51416","0.82296999999999998","0.21434","0.36235000000000001","0.29795599999999994","0.20916000000000001","0.083581000000000003"
"-5.40316","0.42756","0.23680999999999999","0.39964","0.20241499999999998","0.30497000000000002","0.15053"
"-5.29316","0.14726","0.26610999999999996","0.42890000000000006","0.17514299999999999","0.39083000000000001","0.20175999999999999"
"-5.18316","0.13240299999999999","0.32621","0.50649999999999995","0.15945199999999998","0.33996000000000004","0.22203000000000001"
"-5.07316","0.17974499999999999","0.40987000000000001","0.53469999999999995","0.110952","0.28473000000000004","0.27085999999999999"
