case	atom	element	mull_population	mull_charge	mull_spin	hirsh_population	hirsh_charge	hirsh_spin
undoped_valid_co32_OH	32	Co	16.142444	0.857556	3.254625	18.355000	-1.356000	3.215000
undoped_valid_co32_OH	211	H	0.647927	0.352074	0.003589	0.407000	0.593000	0.003000
undoped_valid_co32_OH	212	O	6.425180	-0.425180	0.627114	6.141000	-0.141000	0.607000
undoped_valid_co32_O	32	Co	16.289636	0.710365	2.454644	18.574000	-1.574000	2.394000
undoped_valid_co32_O	211	O	6.282797	-0.282797	0.564299	5.677000	0.324000	0.537000
undoped_valid_co32_OOH	32	Co	16.130767	0.869233	3.247431	18.281000	-1.281000	3.176000
undoped_valid_co32_OOH	211	H	0.691227	0.308773	-0.001807	0.425000	0.575000	0.000000
undoped_valid_co32_OOH	212	O	6.147371	-0.147371	0.591714	5.870000	0.130000	0.593000
undoped_valid_co32_OOH	213	O	6.133490	-0.133490	0.256350	6.368000	-0.368000	0.263000
