x_A,y_A,value
-0.92359,-1.61672,0.0052759754
-0.85749,-1.61672,0.0055143735
-0.79140,-1.61672,0.0055982596
-0.72530,-1.61672,0.0054129409
-0.65920,-1.61672,0.0049587539
-0.59310,-1.61672,0.0043163896
-0.52701,-1.61672,0.0034528903
-0.46091,-1.61672,0.0026410124
-0.39481,-1.61672,0.0018702176
-0.32872,-1.61672,0.001050842
-0.26262,-1.61672,0.00052137027
-0.19652,-1.61672,4.3437176e-05
-0.13042,-1.61672,-0.00030607282
-0.06433,-1.61672,-0.00048395313
0.00177,-1.61672,-0.0006137492
0.06787,-1.61672,-0.00066863769
0.13396,-1.61672,-0.00066776213
0.20006,-1.61672,-0.00061957113
0.26616,-1.61672,-0.0005519141
0.33226,-1.61672,-0.00049077295
0.39835,-1.61672,-0.00040288371
0.46445,-1.61672,-0.00029000384
0.53055,-1.61672,-0.00019995186
0.59664,-1.61672,-0.0001085061
0.66274,-1.61672,1.0527213e-05
0.72884,-1.61672,0.00010340912
0.79493,-1.61672,0.00017825082
0.86103,-1.61672,0.00024578322
0.92713,-1.61672,0.00029323433
0.99323,-1.61672,0.00031900776
1.05932,-1.61672,0.00032760357
1.12542,-1.61672,0.00032854598
1.19152,-1.61672,0.00031025009
1.25761,-1.61672,0.000277404
1.32371,-1.61672,0.00024581564
1.38981,-1.61672,0.00019856228
1.45591,-1.61672,0.00013802215
1.52200,-1.61672,7.855564e-05
1.58810,-1.61672,9.3522558e-06
1.65420,-1.61672,-6.8454559e-05
1.72029,-1.61672,-0.00015164771
1.78639,-1.61672,-0.0002262433
1.85249,-1.61672,-0.00030269759
1.91859,-1.61672,-0.00038614211
1.98468,-1.61672,-0.00045226031
2.05078,-1.61672,-0.00050487544
2.11688,-1.61672,-0.00055799744
2.18297,-1.61672,-0.00059872138
2.24907,-1.61672,-0.0006224445
2.31517,-1.61672,-0.0006321884
2.38127,-1.61672,-0.0006304562
2.44736,-1.61672,-0.0006210141
2.51346,-1.61672,-0.00058951421
2.57956,-1.61672,-0.00053574564
