x_A,y_A,value
-0.98969,-1.61672,0.0011907222
-0.92359,-1.61672,0.00098413206
-0.85749,-1.61672,0.00080863637
-0.79140,-1.61672,0.00066128036
-0.72530,-1.61672,0.00052115752
-0.65920,-1.61672,0.00041285559
-0.59310,-1.61672,0.0003430536
-0.52701,-1.61672,0.00030405982
-0.46091,-1.61672,0.00027403832
-0.39481,-1.61672,0.00025362984
-0.32872,-1.61672,0.00023647732
-0.26262,-1.61672,0.00020534093
-0.19652,-1.61672,0.00017504152
-0.13042,-1.61672,0.00014553995
-0.06433,-1.61672,0.00011563502
0.00177,-1.61672,8.8570952e-05
0.06787,-1.61672,6.6302993e-05
0.13396,-1.61672,5.03517e-05
0.20006,-1.61672,3.7724043e-05
0.26616,-1.61672,2.7578379e-05
0.33226,-1.61672,1.6893833e-05
0.39835,-1.61672,8.0862228e-06
0.46445,-1.61672,7.757335e-07
0.53055,-1.61672,-7.5059652e-06
0.59664,-1.61672,-1.6429854e-05
0.66274,-1.61672,-2.6388618e-05
0.72884,-1.61672,-4.1097956e-05
0.79493,-1.61672,-5.8009726e-05
0.86103,-1.61672,-7.6070661e-05
0.92713,-1.61672,-0.00010140712
0.99323,-1.61672,-0.00012981694
1.05932,-1.61672,-0.00016103682
1.12542,-1.61672,-0.00019750747
1.19152,-1.61672,-0.00023704197
1.25761,-1.61672,-0.00027952861
1.32371,-1.61672,-0.00031295599
1.38981,-1.61672,-0.00034566005
1.45591,-1.61672,-0.00037820789
1.52200,-1.61672,-0.00039202996
1.58810,-1.61672,-0.00040043989
1.65420,-1.61672,-0.00040879153
1.72029,-1.61672,-0.00040661503
1.78639,-1.61672,-0.00039496343
1.85249,-1.61672,-0.00038562861
1.91859,-1.61672,-0.00037786362
1.98468,-1.61672,-0.00037020084
2.05078,-1.61672,-0.0003614804
2.11688,-1.61672,-0.00035616252
2.18297,-1.61672,-0.00035020622
2.24907,-1.61672,-0.00033698411
2.31517,-1.61672,-0.00031986844
2.38127,-1.61672,-0.00030089598
2.44736,-1.61672,-0.00027699803
2.51346,-1.61672,-0.00024569081
2.57956,-1.61672,-0.00021126102
2.64565,-1.61672,-0.00017732347
