"model_index","Co_d_occ_width_eV","Co_d_ext_width_eV","O_p_occ_width_eV","O_p_ext_width_eV"
"1","309.9789277","194.9050509","320.4616041","306.9642366"
"2","281.8048224","195.9218708","303.0400921","288.8640041"
