"model_index","model","Co_d_occ_center_eV","Co_d_ext_center_eV","O_p_occ_center_eV","O_p_ext_center_eV","Co_d_occ_width_eV","Co_d_ext_width_eV","O_p_occ_width_eV","O_p_ext_width_eV","Co_d_occ_weight","Co_d_ext_weight","O_p_occ_weight","O_p_ext_weight","Fermi_level_eV"
"1","bare_Al16","-73.02810179","-45.81074047","-75.49643319","-72.30675683","309.9789277","194.9050509","320.4616041","306.9642366","353.8843294","445.7381367","711.7042416","729.8485456","-3.2622933900"
"2","bare_undoped","-66.38463242","-46.07176119","-71.38857088","-68.03945781","281.8048224","195.9218708","303.0400921","288.8640041","427.6240695","512.8647193","740.2183621","764.5212028","-3.4048605300"
