"model_index","Co_d_occ_center_eV","Co_d_ext_center_eV","O_p_occ_center_eV","O_p_ext_center_eV"
"1","-73.02810179","-45.81074047","-75.49643319","-72.30675683"
"2","-66.38463242","-46.07176119","-71.38857088","-68.03945781"
