"model_index","Co_d_occ_weight","Co_d_ext_weight","O_p_occ_weight","O_p_ext_weight"
"1","353.8843294","445.7381367","711.7042416","729.8485456"
"2","427.6240695","512.8647193","740.2183621","764.5212028"
