system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
pristine	*OH	-5.26363	down	TDOS	0	all	total	17.8	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-5.15863	up	TDOS	0	all	total	112.4	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-5.15863	down	TDOS	0	all	total	13.7	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-5.05363	up	TDOS	0	all	total	116.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-5.05363	down	TDOS	0	all	total	21.92	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.94763	up	TDOS	0	all	total	106.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.94763	down	TDOS	0	all	total	16.16	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.84263	up	TDOS	0	all	total	81.79	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.84263	down	TDOS	0	all	total	2.055	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.73663	up	TDOS	0	all	total	67.18	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.73663	down	TDOS	0	all	total	-2.035	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.63163	up	TDOS	0	all	total	80.73	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.63163	down	TDOS	0	all	total	11.96	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.52563	up	TDOS	0	all	total	100.9	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.52563	down	TDOS	0	all	total	41.42	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.42063	up	TDOS	0	all	total	104.6	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.42063	down	TDOS	0	all	total	65.01	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.31463	up	TDOS	0	all	total	104.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.31463	down	TDOS	0	all	total	65.56	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.20963	up	TDOS	0	all	total	104	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.20963	down	TDOS	0	all	total	54.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.10363	up	TDOS	0	all	total	99.3	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-4.10363	down	TDOS	0	all	total	51.23	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.99863	up	TDOS	0	all	total	95.82	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.99863	down	TDOS	0	all	total	59.29	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.89263	up	TDOS	0	all	total	90.44	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.89263	down	TDOS	0	all	total	66.47	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.78763	up	TDOS	0	all	total	72.71	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.78763	down	TDOS	0	all	total	70.63	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.68263	up	TDOS	0	all	total	56.59	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.68263	down	TDOS	0	all	total	75.93	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.57663	up	TDOS	0	all	total	69.97	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.57663	down	TDOS	0	all	total	78.93	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.47163	up	TDOS	0	all	total	103.5	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.47163	down	TDOS	0	all	total	79.52	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
pristine	*OH	-3.36563	up	TDOS	0	all	total	118.1	source_manifest:COHP/PDOS/pristine/*OH/DOSCAR
