system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*OH	-5.18316	down	TDOS	0	all	total	43.43	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-5.07316	up	TDOS	0	all	total	93.41	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-5.07316	down	TDOS	0	all	total	52.41	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.96216	up	TDOS	0	all	total	96.05	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.96216	down	TDOS	0	all	total	50.65	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.85216	up	TDOS	0	all	total	94.79	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.85216	down	TDOS	0	all	total	44.04	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.74216	up	TDOS	0	all	total	93.74	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.74216	down	TDOS	0	all	total	47.07	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.63116	up	TDOS	0	all	total	97.08	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.63116	down	TDOS	0	all	total	51.58	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.52116	up	TDOS	0	all	total	99.83	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.52116	down	TDOS	0	all	total	54.3	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.41116	up	TDOS	0	all	total	98.01	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.41116	down	TDOS	0	all	total	62.15	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.30016	up	TDOS	0	all	total	95.77	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.30016	down	TDOS	0	all	total	65.91	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.19016	up	TDOS	0	all	total	94.71	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.19016	down	TDOS	0	all	total	60.68	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.08016	up	TDOS	0	all	total	92.01	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-4.08016	down	TDOS	0	all	total	63.84	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.97016	up	TDOS	0	all	total	90.41	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.97016	down	TDOS	0	all	total	79.09	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.85916	up	TDOS	0	all	total	92.95	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.85916	down	TDOS	0	all	total	89.05	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.74916	up	TDOS	0	all	total	96.21	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.74916	down	TDOS	0	all	total	89.54	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.63916	up	TDOS	0	all	total	96.68	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.63916	down	TDOS	0	all	total	89.07	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.52816	up	TDOS	0	all	total	99.27	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.52816	down	TDOS	0	all	total	94.43	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.41816	up	TDOS	0	all	total	104.6	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.41816	down	TDOS	0	all	total	102.5	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.30816	up	TDOS	0	all	total	108.4	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.30816	down	TDOS	0	all	total	103.2	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.19716	up	TDOS	0	all	total	114	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.19716	down	TDOS	0	all	total	95.94	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.08716	up	TDOS	0	all	total	121.1	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-3.08716	down	TDOS	0	all	total	91.76	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.97716	up	TDOS	0	all	total	123.4	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.97716	down	TDOS	0	all	total	99.07	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.86716	up	TDOS	0	all	total	120.4	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.86716	down	TDOS	0	all	total	108.1	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.75616	up	TDOS	0	all	total	115.7	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.75616	down	TDOS	0	all	total	104.1	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.64616	up	TDOS	0	all	total	109.8	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.64616	down	TDOS	0	all	total	89.79	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.53616	up	TDOS	0	all	total	100.5	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.53616	down	TDOS	0	all	total	75.72	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.42516	up	TDOS	0	all	total	88.71	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.42516	down	TDOS	0	all	total	67.14	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.31516	up	TDOS	0	all	total	78.77	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.31516	down	TDOS	0	all	total	68.34	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.20516	up	TDOS	0	all	total	71.03	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.20516	down	TDOS	0	all	total	80.52	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.09516	up	TDOS	0	all	total	65.94	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-2.09516	down	TDOS	0	all	total	95.34	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.98416	up	TDOS	0	all	total	67.58	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.98416	down	TDOS	0	all	total	103.9	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.87416	up	TDOS	0	all	total	72.3	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.87416	down	TDOS	0	all	total	101.6	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.76416	up	TDOS	0	all	total	71.7	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.76416	down	TDOS	0	all	total	85.67	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.65316	up	TDOS	0	all	total	67.07	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.65316	down	TDOS	0	all	total	68.12	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.54316	up	TDOS	0	all	total	64.64	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.54316	down	TDOS	0	all	total	66.53	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.43316	up	TDOS	0	all	total	63.88	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.43316	down	TDOS	0	all	total	78.43	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.32216	up	TDOS	0	all	total	59.56	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.32216	down	TDOS	0	all	total	95.54	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.21216	up	TDOS	0	all	total	55.43	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.21216	down	TDOS	0	all	total	109.7	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.10216	up	TDOS	0	all	total	57.16	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-1.10216	down	TDOS	0	all	total	108.3	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.99216	up	TDOS	0	all	total	63.3	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.99216	down	TDOS	0	all	total	93.26	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.88116	up	TDOS	0	all	total	72.19	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.88116	down	TDOS	0	all	total	80.71	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.77116	up	TDOS	0	all	total	74.08	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.77116	down	TDOS	0	all	total	68.28	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.66116	up	TDOS	0	all	total	66.97	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
