system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
pristine	*O	-5.15922	down	TDOS	0	all	total	24.11	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-5.05322	up	TDOS	0	all	total	116	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-5.05322	down	TDOS	0	all	total	24.83	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.94722	up	TDOS	0	all	total	107	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.94722	down	TDOS	0	all	total	14.18	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.84122	up	TDOS	0	all	total	85.85	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.84122	down	TDOS	0	all	total	2.702	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.73522	up	TDOS	0	all	total	71.63	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.73522	down	TDOS	0	all	total	2.18	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.62922	up	TDOS	0	all	total	81.93	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.62922	down	TDOS	0	all	total	13.09	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.52322	up	TDOS	0	all	total	103.2	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.52322	down	TDOS	0	all	total	32.68	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.41722	up	TDOS	0	all	total	108.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.41722	down	TDOS	0	all	total	51.03	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.31122	up	TDOS	0	all	total	99.63	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.31122	down	TDOS	0	all	total	57.38	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.20522	up	TDOS	0	all	total	92.37	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.20522	down	TDOS	0	all	total	56.09	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.10022	up	TDOS	0	all	total	92.6	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-4.10022	down	TDOS	0	all	total	56.77	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.99422	up	TDOS	0	all	total	96.72	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.99422	down	TDOS	0	all	total	60.11	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.88822	up	TDOS	0	all	total	91.49	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.88822	down	TDOS	0	all	total	65.02	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.78222	up	TDOS	0	all	total	71.66	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.78222	down	TDOS	0	all	total	72.68	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.67622	up	TDOS	0	all	total	56.65	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.67622	down	TDOS	0	all	total	78.83	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.57022	up	TDOS	0	all	total	69.48	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.57022	down	TDOS	0	all	total	77.27	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.46422	up	TDOS	0	all	total	99.96	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.46422	down	TDOS	0	all	total	75.08	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.35822	up	TDOS	0	all	total	116.3	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.35822	down	TDOS	0	all	total	81	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.25222	up	TDOS	0	all	total	108.1	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.25222	down	TDOS	0	all	total	90.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.14622	up	TDOS	0	all	total	104	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.14622	down	TDOS	0	all	total	103.2	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.04022	up	TDOS	0	all	total	128.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-3.04022	down	TDOS	0	all	total	121.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.93422	up	TDOS	0	all	total	165.1	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.93422	down	TDOS	0	all	total	139.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.82822	up	TDOS	0	all	total	182.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.82822	down	TDOS	0	all	total	148.2	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.72222	up	TDOS	0	all	total	173	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.72222	down	TDOS	0	all	total	147.5	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.61622	up	TDOS	0	all	total	148.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.61622	down	TDOS	0	all	total	136.5	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.51022	up	TDOS	0	all	total	126	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.51022	down	TDOS	0	all	total	122.8	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
