"system","state","pair_role","atom1_index","atom2_index","distance_A","energy_eV_rel_EF","spin","pCOHP_raw","minus_pCOHP","source_file"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.15789","down","0.02138","-0.02138","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.15789","up","0.01546","-0.01546","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.15789","down","0.00634","-0.00634","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.20802","up","0.02947","-0.02947","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.20802","down","0.1952","-0.1952","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.20802","up","0.00672","-0.00672","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.20802","down","0.04609","-0.04609","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.20802","up","0.02687","-0.02687","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.20802","down","0.00859","-0.00859","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.25815","up","0.03273","-0.03273","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.25815","down","0.19763","-0.19763","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.25815","up","0.05349","-0.05349","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.25815","down","0.17477","-0.17477","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.25815","up","0.10368","-0.10368","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.25815","down","0.03896","-0.03896","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.30827","up","0.02361","-0.02361","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.30827","down","0.1081","-0.1081","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.30827","up","0.13726","-0.13726","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.30827","down","0.17736","-0.17736","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.30827","up","0.11288","-0.11288","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","neighbor-Obridge","23","259","2.112332","3.30827","down","0.05949","-0.05949","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.35840","up","0.02583","-0.02583","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Oads","21","348","1.875883","3.35840","down","0.15149","-0.15149","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
"pristine","*OH","Coact-Obridge","21","259","2.069958","3.35840","up","0.158","-0.158","source_manifest:COHP/PDOS/pristine/*OH/COHPCAR.lobster"
