energy_eV_rel_EF	TDOS_up	TDOS_down	Co_s_up	Co_s_down	Co_px_up	Co_px_down	Co_py_up	Co_py_down	Co_pz_up	Co_pz_down	Co_dxy_up	Co_dxy_down	Co_dyz_up	Co_dyz_down	Co_dz2_up	Co_dz2_down	Co_dxz_up	Co_dxz_down	Co_dx2y2_up	Co_dx2y2_down	Co_p_total_up	Co_p_total_down	Co_d_total_up	Co_d_total_down	Co_total_up	Co_total_down	H_s_up	H_s_down	H_px_up	H_px_down	H_py_up	H_py_down	H_pz_up	H_pz_down	H_dxy_up	H_dxy_down	H_dyz_up	H_dyz_down	H_dz2_up	H_dz2_down	H_dxz_up	H_dxz_down	H_dx2y2_up	H_dx2y2_down	H_p_total_up	H_p_total_down	H_d_total_up	H_d_total_down	H_total_up	H_total_down	O_s_up	O_s_down	O_px_up	O_px_down	O_py_up	O_py_down	O_pz_up	O_pz_down	O_dxy_up	O_dxy_down	O_dyz_up	O_dyz_down	O_dz2_up	O_dz2_down	O_dxz_up	O_dxz_down	O_dx2y2_up	O_dx2y2_down	O_p_total_up	O_p_total_down	O_d_total_up	O_d_total_down	O_total_up	O_total_down
-20.55563345	-6.21e-09	-5.568e-09	-2.3749240000000007e-10	-1.9866809999999993e-10	-6.389269999999996e-12	-4.690436e-12	-6.006494e-12	-4.583757599999999e-12	-5.095752999999999e-12	-5.518871630000001e-12	-8.131759999999998e-13	-8.811014000000001e-13	-2.1147830999999998e-12	-1.71547593e-12	-1.2914018000000002e-12	-1.0680299999999998e-12	-1.7551741999999995e-12	-1.5362594499999998e-12	-7.420256e-13	-7.283865999999998e-13	-1.7491516999999996e-11	-1.479306523e-11	-6.716560699999999e-12	-5.929253379999999e-12	-2.6170047770000006e-10	-2.1939041860999992e-10	-6.788005999999996e-10	-6.179882500000002e-10	-1.9108268624999997e-11	-2.0665189347999982e-11	-2.5626902435999997e-11	-2.4469100370999993e-11	-8.584807000000004e-11	-7.423175999999998e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3058324106100003e-10	-1.1936604971899995e-10	0.0	0.0	-8.093838410609996e-10	-7.373542997190002e-10	-4.2601900000000024e-09	-3.836184299999999e-09	-2.2686943299999994e-11	-2.698716530000001e-11	-3.390802820000001e-11	-2.8088155900000002e-11	-7.923071000000004e-11	-7.558781700000007e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3582568150000004e-10	-1.3066313820000008e-10	0.0	0.0	-4.396015681500002e-09	-3.966847438199999e-09
-20.450633449999998	-6.529e-07	-5.976e-07	-2.491211000000001e-08	-2.1314509999999995e-08	-6.778300000000002e-10	-5.057355999999999e-10	-6.379642999999999e-10	-4.945035000000001e-10	-5.392867300000002e-10	-5.92918836e-10	-8.753099999999998e-11	-9.479926e-11	-2.2568828000000007e-10	-1.84509572e-10	-1.3607548999999998e-10	-1.1452089999999999e-10	-1.8772889999999997e-10	-1.6531547700000002e-10	-8.005461000000004e-11	-7.841037000000002e-11	-1.8550810300000004e-09	-1.593157936e-09	-7.170782800000001e-10	-6.37555579e-10	-2.748426931000001e-08	-2.3545223514999994e-08	-7.139071999999998e-08	-6.633324200000002e-08	-2.0170581231999994e-09	-2.2191498316e-09	-2.7001138709999995e-09	-2.6279042841999984e-09	-9.019298000000007e-09	-7.966306999999999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3736469994200005e-08	-1.2813361115799998e-08	0.0	0.0	-8.512718999419999e-08	-7.914660311580002e-08	-4.479783000000001e-07	-4.1177537000000014e-07	-2.3965973999999998e-09	-2.898525170000001e-09	-3.560889049999998e-09	-3.0167151039999998e-09	-8.344326e-09	-8.1148638e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4301812449999999e-08	-1.4030104074e-08	0.0	0.0	-4.622801124500001e-07	-4.2580547407400015e-07
-20.34563345	-3.866e-05	-3.599e-05	-1.4715449999999998e-06	-1.2826847e-06	-4.048981999999999e-08	-3.0592229999999994e-08	-3.814899e-08	-2.992620199999999e-08	-3.2380769000000006e-08	-3.5739853900000006e-08	-5.324039000000001e-09	-5.722938999999998e-09	-1.3614999999999998e-08	-1.1134899299999998e-08	-8.070270000000002e-09	-6.888811e-09	-1.1355765999999994e-08	-9.981621100000001e-09	-4.879929000000001e-09	-4.736105000000001e-09	-1.11019579e-07	-9.62582859e-08	-4.3245003999999996e-08	-3.84643754e-08	-1.6258095829999997e-06	-1.4174073613e-06	-4.229311000000002e-06	-3.994840599999999e-06	-1.1987831244000006e-07	-1.3371950038e-07	-1.6026619793000002e-07	-1.5836029456e-07	-5.337092999999999e-07	-4.795975999999998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.1385381037e-07	-7.716773949399998e-07	0.0	0.0	-5.043164810370002e-06	-4.766517994939999e-06	-2.652899000000001e-05	-2.4798289999999995e-05	-1.42564057e-07	-1.7466752090000005e-07	-2.1082777000000005e-07	-1.8177803839999996e-07	-4.949909999999999e-07	-4.887797899999999e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.48382827e-07	-8.452253492999999e-07	0.0	0.0	-2.7377372827000008e-05	-2.5643515349299996e-05
-20.23963345	-0.001277	-0.001203	-4.845535e-05	-4.284752000000002e-05	-1.3481750000000002e-06	-1.0270009999999997e-06	-1.2712584000000005e-06	-1.0052587000000003e-06	-1.09798622e-06	-1.195603701e-06	-1.8161339999999994e-07	-1.9173540000000004e-07	-4.609121999999999e-07	-3.7291318499999993e-07	-2.667832e-07	-2.2998763e-07	-3.858357999999999e-07	-3.344686199999999e-07	-1.6683519999999996e-07	-1.5875833e-07	-3.7174196200000006e-06	-3.2278634009999997e-06	-1.4619797999999997e-06	-1.2878631649999999e-06	-5.3634749420000003e-05	-4.736324656600002e-05	-0.00013974784000000005	-0.00013351375000000002	-3.971674956000002e-06	-4.471159228199999e-06	-5.308645498999997e-06	-5.295695586999999e-06	-1.7614940000000002e-05	-1.6025493999999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.6895260455e-05	-2.5792348815199997e-05	0.0	0.0	-0.00016664310045500004	-0.0001593060988152	-0.0008762724999999998	-0.0008287305000000002	-4.72813442e-06	-5.841372939999999e-06	-6.97446163e-06	-6.0788172799999985e-06	-1.6383163999999994e-05	-1.6338243500000005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.8085760049999994e-05	-2.825843372e-05	0.0	0.0	-0.0009043582600499998	-0.0008569889337200002
-20.13463345	-0.0231	-0.02186	-0.0008735049999999999	-0.0007783009999999997	-2.4567609999999996e-05	-1.8752649999999997e-05	-2.3176909999999996e-05	-1.8367386999999997e-05	-2.0852510999999997e-05	-2.1752364799999996e-05	-3.429073000000001e-06	-3.493496999999999e-06	-8.643084000000002e-06	-6.792479109999999e-06	-4.8207370000000015e-06	-4.174898199999999e-06	-7.274848e-06	-6.095732900000001e-06	-3.1555990000000014e-06	-2.8945199999999993e-06	-6.859703099999999e-05	-5.887240179999999e-05	-2.7323341000000005e-05	-2.3451127209999997e-05	-0.0009694253719999999	-0.0008606245290099997	-0.002530262999999999	-0.0024266397999999994	-7.200766167999999e-05	-8.13023602e-05	-9.642099189e-05	-9.630419571999999e-05	-0.00031855379999999996	-0.00029117844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00048698245357	-0.00046878499592	0.0	0.0	-0.0030172454535699993	-0.0028954247959199994	-0.015856497	-0.015061891000000003	-8.582168200000003e-05	-0.00010623290189999999	-0.00012683709200000002	-0.0001105549816	-0.00029719037000000006	-0.0002969989199999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0005098491440000001	-0.0005137868034999998	0.0	0.0	-0.016366346144	-0.015575677803500002
-20.02863345	-0.2205	-0.2068	-0.008294399999999999	-0.007359899999999999	-0.00023579819999999997	-0.00017841390000000005	-0.00022239396999999998	-0.00017487459	-0.0002177777699999999	-0.00020612296899999994	-3.492432000000001e-05	-3.3166419999999996e-05	-8.74416e-05	-6.44492732e-05	-4.5728950000000005e-05	-3.9453917000000005e-05	-7.426878e-05	-5.787284800000002e-05	-3.21641e-05	-2.7505020000000007e-05	-0.0006759699399999998	-0.000559411459	-0.00027452775000000003	-0.00022244747820000002	-0.009244897689999998	-0.008141758937199999	-0.024178847	-0.022965861999999997	-0.0006871382623000004	-0.0007698293999999998	-0.0009256187378000003	-0.0009119785899000001	-0.003040463	-0.0027550680000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.004653220000100001	-0.0044368759899	0.0	0.0	-0.0288320670001	-0.027402737989899995	-0.15138101000000004	-0.14253828999999996	-0.00082015863	-0.001006017231	-0.0012257861800000001	-0.0010469915889999995	-0.0028468241000000004	-0.0028114468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00489276891	-0.004864455619999999	0.0	0.0	-0.15627377891000005	-0.14740274561999994
-19.92363345	-1.003	-0.9021	-0.03735804	-0.03206012999999999	-0.001076662	-0.0007859446000000002	-0.0010144268000000004	-0.0007716045	-0.0011894944999999997	-0.00090184014	-0.00018077569999999998	-0.00014569396000000003	-0.0004470474000000001	-0.00028262019599999995	-0.00020348290000000006	-0.00017162602999999993	-0.0003869193	-0.00025393953000000006	-0.00016628200000000002	-0.00012131873999999999	-0.0032805832999999998	-0.00245938924	-0.0013845073000000002	-0.000975198456	-0.0420231306	-0.035494717695999996	-0.11024836999999997	-0.10017291999999997	-0.0031062700489999993	-0.0033593398387999998	-0.004252857629999999	-0.003981015881	-0.013847534999999992	-0.012014218999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.02120666267899999	-0.019354574719799997	0.0	0.0	-0.13145503267899997	-0.11952749471979997	-0.6888770000000003	-0.6217031000000001	-0.003714956329999999	-0.004390141200000002	-0.005749961169999998	-0.004572077470000001	-0.01303540899999999	-0.012266619499999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.022500326499999987	-0.02122883817	0.0	0.0	-0.7113773265000003	-0.64293193817
-19.81763345	-1.278	-0.8324	-0.04506836	-0.02912958	-0.0014195080000000003	-0.0008067939999999998	-0.0013444050000000001	-0.0008086851999999998	-0.0027813143999999993	-0.0008683434000000002	-0.0003933847	-0.00014840125	-0.0009019448999999999	-0.00027823171199999996	-0.00021934937	-0.00015318981	-0.0008309520999999997	-0.00025037199000000005	-0.0003616346	-0.00013253126	-0.0055452274	-0.0024838226	-0.0027072656699999994	-0.000962726022	-0.05332085307	-0.032576128621999996	-0.14203026999999996	-0.09257882999999999	-0.0037768038949999995	-0.0030892729362999994	-0.005599704479	-0.0036796459280000002	-0.017873766999999995	-0.011125361999999991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.027250275373999995	-0.01789428086429999	0.0	0.0	-0.16928054537399995	-0.11047311086429998	-0.8790137999999997	-0.5740725500000001	-0.004525304000000001	-0.004029141600000001	-0.008443298509999999	-0.004265389179999999	-0.017111659999999997	-0.011372953999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.030080262509999997	-0.019667484779999998	0.0	0.0	-0.9090940625099997	-0.5937400347800001
-19.71263345	5.084	5.827	0.2026443	0.2118036999999999	0.004591244	0.004255563779999999	0.004123895999999999	0.004006155	0.0016475600799999999	0.0054654230000000005	4.39095e-05	0.0007867179000000001	0.0008100647999999997	0.0016474559800000001	0.0012326263	0.0011603138	0.00046208012999999994	0.0014784214800000002	-5.218000000000193e-07	0.0005549142999999999	0.010362700079999999	0.01372714178	0.0025481589299999998	0.0056278234600000004	0.21555515901	0.2311586652399999	0.5525720709999996	0.6458368490000003	0.01642064586100001	0.021901475540419	0.021354964312000013	0.025787855713999996	0.06863490899999998	0.077016464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106410519173	0.12470579525441901	0.0	0.0	0.6589825901729996	0.7705426442544193	3.4827374599999987	4.011792779999999	0.019772345999999996	0.028764245020000006	0.025590845679999995	0.029174462540000008	0.06392529999999998	0.07872539200000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10928849167999996	0.13666409956000003	0.0	0.0	3.592025951679999	4.1484568795599985
-19.60663345	20.39	18.36	0.7940118000000002	0.6784676	0.016226169999999998	0.011524736999999997	0.0141175916	0.010464820000000003	0.024838765	0.016614816000000004	0.0015936605999999998	0.002086033999999999	0.007156144999999998	0.004811949299999999	0.004427922899999998	0.0037624691999999993	0.005879014600000001	0.0042756609	0.001171827	0.001237316	0.0551825266	0.038604373000000004	0.020228570099999996	0.016173429399999998	0.8694228967000002	0.7332454023999999	2.236293999999998	2.0330757799999994	0.06274088877	0.06944713939799994	0.08864460357999997	0.08172597128999998	0.27752555	0.24123561000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42891104235	0.3924087206880001	0.0	0.0	2.6652050423499976	2.4254845006879995	13.971971	12.636467000000003	0.07567924439999996	0.091642242	0.12013860189999999	0.09161771077000003	0.261914088	0.2469978759999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4577319342999999	0.4302578287699999	0.0	0.0	14.4297029343	13.066724828770003
