system	sigma_OH_bonding_peak_EF_eV	sigma_OH_bonding_minusCOHP	occupied_antibonding_peak_EF_eV	occupied_antibonding_minusCOHP	empty_sigma_star_candidate_EF_eV	empty_sigma_star_minusCOHP	occupied_integrated_minusCOHP
pristine_OH	-5.36341000	4.53154000	-0.05013000	-0.22166000	3.95990000	-1.27559000	1.38905973
Al16_OH	-5.56391000	2.66612000	-0.45113000	-0.37160000	3.90977000	-1.95820000	1.43465056
