energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-6.17516,0.003467,0.1033,-0.0015,0.06344,0.002614,0.1692,0.007091,0.278,7.352e-05,0.1774,0.002797,0.03094,0.003207,0.005145,0.04421,0.03415,0.05329,0.04681,-0.0009383,0.05434,0.0294,0.04138,46.05,67.05,0.001076,0.003625,0.0003671,0.003705,0.0007876,0.003248,0.007076,0.03336
-6.06516,0.001765,0.04537,4.341e-05,0.05527,-0.0007459,0.1676,0.01477,0.1191,-0.0002828,0.1454,0.001275,0.021,-0.001198,0.002896,-0.0009017,0.04398,0.07061,0.0426,0.006058,0.04915,0.004133,0.02831,48.43,77.49,0.001477,0.004778,0.0006201,0.004964,0.0006208,0.00253,0.04628,0.02467
-5.95516,0.0022,0.03365,0.01373,0.04923,0.01077,0.2067,0.03053,0.03627,0.0007706,0.1277,0.001171,0.02179,-0.003757,0.002988,-0.01614,0.07037,0.1763,0.05175,0.01517,0.05844,-0.002595,0.02797,50.18,91.46,0.002754,0.005181,0.001677,0.006997,0.001487,0.002603,0.106,0.02186
-5.84516,0.005432,0.041,0.0527,0.04594,0.04309,0.2249,0.03211,0.01945,0.003597,0.115,0.001864,0.02319,0.002649,0.003554,0.02655,0.08369,0.2556,0.05361,0.02429,0.07862,0.003944,0.02481,50.27,97.01,0.002504,0.004769,0.002694,0.006737,0.003598,0.003606,0.1106,0.02135
-5.73416,0.02128,0.04123,0.1216,0.03386,0.06429,0.1682,0.03158,0.02021,0.006487,0.09936,0.01487,0.01908,0.05086,0.003263,0.2387,0.06814,0.2176,0.04075,0.07564,0.1086,0.02106,0.01914,53.75,89.04,0.001398,0.004007,0.002711,0.004284,0.004153,0.005998,0.06284,0.0194
-5.62416,0.04403,0.03475,0.1892,0.01925,0.05055,0.08929,0.04194,0.02607,0.007406,0.07806,0.04045,0.01312,0.139,0.00463,0.5752,0.04865,0.1106,0.03869,0.1726,0.133,0.04504,0.01949,58.83,81.79,0.0009845,0.003571,0.002409,0.002889,0.002864,0.009857,0.01973,0.01904
-5.51416,0.04239,0.02648,0.1773,0.01656,0.03313,0.05382,0.03883,0.05296,0.006306,0.05934,0.04597,0.01324,0.1624,0.009881,0.6146,0.06046,0.06698,0.06435,0.231,0.1282,0.06437,0.02179,58.99,82.4,0.0009512,0.00395,0.003474,0.00336,0.003932,0.01259,0.005085,0.01813
-5.40316,0.02112,0.02744,0.1087,0.02595,0.04657,0.0636,0.02073,0.1061,0.005295,0.08188,0.0248,0.02281,0.09566,0.01822,0.3071,0.1095,0.1067,0.1023,0.2104,0.1122,0.08254,0.02231,51.02,85.97,0.0009056,0.004918,0.004384,0.004004,0.007713,0.01201,0.01208,0.01419
-5.29316,0.01461,0.03342,0.07519,0.03582,0.06883,0.06959,0.01133,0.1256,0.005183,0.1264,0.00707,0.02771,0.04518,0.02835,0.09501,0.1457,0.1571,0.1364,0.1501,0.1007,0.1217,0.02901,41.65,88.51,0.0008222,0.005993,0.004205,0.003917,0.01367,0.01357,0.02094,0.01497
-5.18316,0.02472,0.03061,0.06119,0.04196,0.05712,0.0474,0.01262,0.08369,0.003802,0.1363,0.002773,0.01958,0.04308,0.04425,0.08655,0.1582,0.2091,0.1793,0.1135,0.09332,0.1839,0.05359,43.43,90.35,0.001177,0.006711,0.007124,0.003655,0.02101,0.02384,0.01865,0.02134
