energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-6.64222,0.03137,0.05454,0.05439,0.161,0.01459,0.1373,0.01317,0.03988,0.03944,0.5459,0.00547,0.02113,0.002322,0.002678,0.001742,0.07137,0.13,0.0955,0.06037,0.03646,0.1966,0.02387,75.36,104.3,0.0539,0.05999,0.003697,0.1268,0.000437,0.01992,0.0003498,0.04118,0.01005,0.005066
-6.53622,0.02653,0.02115,0.04857,0.07251,0.02015,0.1157,0.01588,0.02381,0.03479,0.3452,0.004627,0.01913,0.004706,0.004055,0.001414,0.03463,0.1062,0.08464,0.06142,0.03488,0.2293,0.1691,81.33,69.18,0.05133,0.06171,0.00453,0.09064,0.0008492,0.0271,0.0002389,0.04697,0.009223,0.004669
-6.43022,0.01843,0.01414,0.038,0.03837,0.02884,0.182,0.0468,0.03271,0.02433,0.2514,0.006666,0.03074,0.008598,0.009756,0.00115,0.01495,0.1016,0.09891,0.05479,0.04146,0.2715,0.3943,85.69,45.81,0.03717,0.05368,0.006298,0.09181,0.001914,0.04468,0.0003237,0.04929,0.006841,0.005714
-6.32422,0.0131,0.01629,0.02734,0.02833,0.04253,0.2363,0.08717,0.03284,0.01376,0.1821,0.009482,0.04422,0.01284,0.0155,0.0008565,0.01194,0.1302,0.09331,0.05005,0.03827,0.3351,0.4854,88.06,49.17,0.02738,0.04411,0.008509,0.1001,0.003771,0.05014,0.0004753,0.05767,0.004087,0.004972
-6.21822,0.01177,0.02052,0.0209,0.01905,0.04909,0.2205,0.0858,0.05836,0.00732,0.07518,0.008408,0.05002,0.01263,0.01729,0.0006743,0.01192,0.1612,0.06718,0.05382,0.02481,0.3871,0.4227,82.58,59.83,0.03282,0.04964,0.008186,0.09329,0.004758,0.04002,0.0006273,0.07674,0.002793,0.003158
-6.11222,0.01191,0.03024,0.01684,0.02172,0.03278,0.1607,0.04562,0.1934,0.004087,0.02072,0.004005,0.04912,0.007041,0.01511,0.0009508,0.01567,0.1266,0.06988,0.04208,0.02787,0.2801,0.285,70.11,63.39,0.04026,0.05174,0.005778,0.08157,0.00355,0.02676,0.0009802,0.0748,0.00265,0.003589
-6.00622,0.01374,0.04331,0.01412,0.02908,0.01687,0.1293,0.01986,0.3812,0.002962,0.02194,0.001173,0.05364,0.002186,0.01755,0.002167,0.0275,0.07171,0.09369,0.02093,0.05191,0.1095,0.1508,66.07,61.27,0.03753,0.03183,0.007644,0.06947,0.00267,0.01618,0.001295,0.04277,0.003081,0.004853
-5.90022,0.01384,0.0457,0.01186,0.02421,0.02596,0.1308,0.01798,0.3873,0.003057,0.02712,0.001503,0.05721,0.0009016,0.02228,0.003277,0.03493,0.04662,0.09359,0.01167,0.06417,0.03877,0.1014,75.55,59.5,0.02865,0.008982,0.01493,0.06761,0.003941,0.007358,0.001222,0.009449,0.00283,0.004239
-5.79522,0.009392,0.02653,0.009239,0.01013,0.04034,0.09118,0.01561,0.1859,0.003295,0.01868,0.002598,0.03794,0.0009162,0.01649,0.002688,0.02354,0.02819,0.0507,0.01151,0.04069,0.03466,0.07287,81.14,54.46,0.0206,0.02251,0.01929,0.09751,0.005222,0.0105,0.001104,0.04188,0.001518,0.002803
-5.68922,0.005203,0.007374,0.007166,0.002135,0.04561,0.03645,0.01207,0.02929,0.00354,0.01356,0.002645,0.0123,0.001052,0.006675,0.001263,0.007231,0.01699,0.01319,0.01442,0.01955,0.03739,0.02864,74.51,53.45,0.0164,0.1179,0.01679,0.1469,0.005276,0.07755,0.001006,0.2791,0.0004349,0.002486
