energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-6.31863,0.006477,0.06646,0.007955,0.02216,0.02319,0.09665,0.07067,0.03432,0.01001,0.1092,0.01831,0.003632,0.03078,0.005198,0.0437,0.04302,0.05232,0.07659,0.03028,0.04174,0.1406,0.231,86.33,51.49,0.03657,0.03776,0.006149,0.07253,0.0008755,0.03303,0.0003917,0.04953,0.006309,0.007271
-6.21363,0.008435,0.06048,0.006686,0.03212,0.02876,0.1625,0.08449,0.04565,0.00545,0.08865,0.01995,0.006973,0.03172,0.006949,0.03863,0.03567,0.09375,0.09506,0.04003,0.0477,0.2604,0.4043,79,66.95,0.03614,0.04122,0.007557,0.09616,0.002488,0.04973,0.0005592,0.05289,0.004741,0.006055
-6.10763,0.01323,0.04589,0.01143,0.03226,0.02831,0.1809,0.06404,0.08137,0.008206,0.05701,0.01266,0.01003,0.01871,0.007006,0.02484,0.02493,0.1927,0.09986,0.07706,0.04765,0.5116,0.5073,74,74.6,0.04326,0.05045,0.00872,0.1079,0.004689,0.05534,0.0009737,0.05299,0.004873,0.004247
-6.00263,0.01674,0.04434,0.01653,0.03301,0.02231,0.18,0.03846,0.198,0.01047,0.07875,0.006016,0.01833,0.00734,0.004628,0.03398,0.03456,0.2424,0.07467,0.08822,0.04085,0.554,0.3964,78.03,65.43,0.0425,0.0362,0.01063,0.09659,0.005317,0.03657,0.001394,0.0352,0.004488,0.004442
-5.89663,0.01409,0.05227,0.01403,0.05118,0.01713,0.2551,0.02522,0.3702,0.007725,0.1417,0.006991,0.03412,0.008969,0.002216,0.07268,0.06187,0.1844,0.03932,0.05413,0.03513,0.3316,0.256,84.88,53.44,0.03291,0.01221,0.01429,0.09065,0.004767,0.01359,0.001457,0.01005,0.002908,0.005487
-5.79163,0.007314,0.04677,0.004727,0.0578,0.01338,0.2864,0.0156,0.3765,0.003276,0.1492,0.009256,0.03664,0.01371,0.001209,0.08553,0.06557,0.08333,0.01993,0.01897,0.0283,0.1384,0.1967,78.66,47.17,0.02235,0.006056,0.0178,0.1128,0.004886,0.0102,0.001352,-0.002573,0.001343,0.005515
-5.68563,0.002812,0.0211,-0.005402,0.03413,0.01137,0.1662,0.008713,0.1798,0.0009041,0.08237,0.005646,0.01855,0.009408,0.0005222,0.0428,0.03369,0.02426,0.009744,0.01083,0.0163,0.08302,0.1039,62.77,51.03,0.01724,0.05161,0.01726,0.1403,0.005531,0.04981,0.001166,0.07983,0.000495,0.004243
-5.58063,0.002584,0.004621,0.01501,0.01231,0.02641,0.04362,0.01087,0.03525,0.002778,0.04839,0.005059,0.00406,0.0208,0.001056,0.06846,0.01301,0.02283,0.01326,0.01975,0.01445,0.09688,0.01952,59.51,84.43,0.01568,0.1733,0.01296,0.1495,0.005828,0.1404,0.0008442,0.3883,0.0002444,0.003274
-5.47463,0.004339,0.009024,0.1335,0.01108,0.0712,0.009888,0.01618,0.01415,0.012,0.07499,0.02702,0.00395,0.1056,0.004331,0.3912,0.02656,0.03017,0.0435,0.02133,0.02559,0.09105,0.0009172,61.78,127,0.01172,0.285,0.007683,0.168,0.004611,0.2213,0.0006588,0.7841,0.0001686,0.004009
-5.36963,0.005552,0.02384,0.281,0.02474,0.112,0.02149,0.01635,0.02079,0.02223,0.1046,0.05771,0.01103,0.2137,0.01039,0.8112,0.06591,0.01937,0.1009,0.009849,0.05504,0.04636,0.009391,43.63,134.6,0.005152,0.2618,0.003082,0.2028,0.002264,0.2869,0.0006263,0.8553,3.933e-05,0.005883
-5.26363,0.007483,0.03909,0.246,0.0463,0.08814,0.04085,0.01329,0.02107,0.01866,0.1217,0.0531,0.01982,0.1864,0.01708,0.7206,0.1198,0.006855,0.1586,0.002727,0.1085,0.01118,0.01799,17.8,117.4,0.0009975,0.1407,0.0003945,0.2144,0.0006097,0.4215,0.0004246,0.5634,0.0002059,0.006747
-5.15863,0.01564,0.04359,0.08139,0.05838,0.0265,0.04937,0.01642,0.02263,0.006029,0.1349,0.02576,0.02386,0.06387,0.01903,0.2812,0.1444,0.004617,0.1716,0.007828,0.1459,0.002027,0.02468,13.7,112.4,0.0008115,0.05183,-0.0002818,0.2126,0.0001589,0.6197,0.000129,0.2666,0.00104,0.006049
-5.05363,0.02198,0.03779,-0.003786,0.04919,-0.00357,0.04454,0.02072,0.03717,-0.0003321,0.1458,0.01269,0.02124,0.001017,0.01662,0.06012,0.1208,0.006267,0.1396,0.01287,0.131,0.002944,0.02899,21.92,116.1,0.001625,0.02486,-0.0001622,0.2146,0.000212,0.7178,2.06e-06,0.1105,0.001641,0.004629
-4.94763,0.01381,0.04206,-0.008144,0.03618,-0.004328,0.04695,0.01264,0.06528,-0.0006438,0.2054,0.006777,0.02438,-0.003768,0.01901,0.02186,0.126,0.003786,0.1174,0.006363,0.09267,0.002042,0.02949,16.16,106.1,0.001137,0.01946,-9.588e-05,0.2078,0.000142,0.558,-3.471e-05,0.05622,0.0009978,0.002974
-4.84263,0.002077,0.06086,-0.002773,0.03759,-0.002058,0.06789,0.001105,0.08571,-0.0003581,0.3181,0.0005737,0.03337,-0.001812,0.02504,0.001366,0.1669,-0.001306,0.1165,-0.003965,0.07607,-0.001244,0.02466,2.055,81.79,0.0001697,0.01734,-0.0002606,0.174,-3.374e-05,0.3085,-0.0001614,0.05336,2.9e-05,0.002834
-4.73663,-0.001727,0.0836,-0.001746,0.06637,-0.0009718,0.1141,-0.0007101,0.11,-0.0005482,0.4298,-0.001672,0.03195,-0.000492,0.0262,-0.005707,0.1547,-0.0056,0.1112,0.004839,0.08332,-0.003279,0.01588,-2.035,67.18,-0.0001482,0.026,-0.0003984,0.1369,1.29e-05,0.2777,-0.000352,0.05749,6.461e-05,0.006654
-4.63163,-0.0002952,0.1143,0.001722,0.1321,0.005184,0.1674,0.007743,0.1724,0.0002716,0.5368,0.001142,0.02371,0.004814,0.03519,-0.002105,0.1195,-0.001339,0.1168,0.05474,0.08633,0.004493,0.01061,11.96,80.73,0.000176,0.04453,0.0009128,0.1801,0.0005243,0.479,0.0002036,0.0711,0.001456,0.01211
-4.52563,0.003702,0.1321,0.01441,0.2025,0.02304,0.1665,0.01939,0.2248,0.004821,0.5358,0.01009,0.01933,0.01292,0.06979,0.004576,0.1346,0.03639,0.1254,0.1098,0.06465,0.03453,0.01484,41.42,100.9,0.0009811,0.04898,0.005991,0.3081,0.001276,0.6062,0.003378,0.09262,0.002919,0.01246
-4.42063,0.01011,0.115,0.03428,0.2433,0.05424,0.1125,0.03169,0.2017,0.01138,0.3825,0.01898,0.01486,0.01788,0.1243,0.01293,0.1633,0.1339,0.09471,0.105,0.03514,0.0825,0.02829,65.01,104.6,0.001558,0.031,0.01337,0.3794,0.001863,0.4925,0.009235,0.1096,0.002861,0.007657
