"energy_eV_rel_EF","Al_total_up","Al_total_down","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-22.72015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.610158820000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.499158819999998","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.38915882","-7.635149477679999e-32","0.0","-3.0009205195985e-31","0.0","-1.4986409614993297e-30","0.0","-8.655544297113592e-30","0.0"
"-22.27915882","-5.243460458940001e-28","-4.191315207622e-32","-2.0602543270038898e-27","-1.4238524798176395e-31","-1.0289687455908205e-26","-8.00440914923495e-31","-5.942993977383099e-26","-4.5850837567277494e-30"
"-22.16915882","-1.94791463941e-24","-3.009274324416e-28","-7.654004173758199e-24","-1.0219961349325701e-27","-3.822171672057401e-23","-5.745768596504304e-27","-2.2079142635844974e-22","-3.291182672397319e-26"
"-22.058158820000003","-3.918433648690001e-21","-1.167361141687e-24","-1.53952394758317e-20","-3.9648705301905e-24","-7.688898328604898e-20","-2.229146928643e-23","-4.440974741776339e-19","-1.2769994232680718e-22"
"-21.948158820000003","-4.2647510012e-18","-2.453225544285e-21","-1.67516951606464e-17","-8.330888401012398e-21","-8.3666387321715e-17","-4.6842285230549e-20","-4.833123283527009e-16","-2.6834833599436393e-19"
"-21.838158819999997","-2.4297479824799997e-15","-2.790519735454e-18","-9.538922038200897e-15","-9.474359418883002e-18","-4.764633839230098e-14","-5.327081430288098e-17","-2.7530298249012857e-13","-3.052194934414072e-16"
"-21.72715882","-7.66358830524e-13","-1.664049215782e-15","-3.0083879488330997e-12","-5.647458789310599e-15","-1.50276431250716e-11","-3.175986631626001e-14","-8.683909106945708e-11","-1.8199509206976889e-13"
"-21.61715882","-1.29993647151e-10","-5.491276426419999e-13","-5.0992413907978e-10","-1.8629432689944e-12","-2.5476644019572e-09","-1.0480093909232302e-11","-1.4726611529284361e-08","-6.006199148460883e-11"
"-21.50715882","-1.1819826739300001e-08","-9.76038040214e-11","-4.6309566989074e-08","-3.3084022770608005e-10","-2.314670984951101e-07","-1.8617922133515997e-09","-1.3384291830144542e-06","-1.0673185624232245e-08"
"-21.39715882","-5.7293656106e-07","-9.308627840300001e-09","-2.2402061675521e-06","-3.1517198341980997e-08","-1.1206725254234002e-05","-1.7748508400701996e-07","-6.483499158375075e-05","-1.0179382219622905e-06"
"-21.286158819999997","-1.4653277983199998e-05","-4.7401458330700005e-07","-5.711012309036799e-05","-1.6015543200599997e-06","-0.0002862037678039802","-9.031344188964297e-06","-0.0016573340404753719","-5.1819118151007756e-05"
"-21.176158819999998","-0.000193648663579","-1.27604029592e-05","-0.0007501097663432004","-4.2966436697757e-05","-0.0037732283971984985","-0.00024295437592773998","-0.021879867252329672","-0.0013947937670113798"
"-21.06615882","-0.00125066061276","-0.000177916893857","-0.0047819910332991","-0.0005953306513820499","-0.024289172934541005","-0.0033840360075982003","-0.14107542953274477","-0.01944886251468894"
"-20.95515882","-0.0031733951309999998","-0.00121917042478","-0.011639581587534998","-0.0040244477811978","-0.06120981672998502","-0.023157796813019004","-0.35662592163870016","-0.13323621813654116"
"-20.84515882","0.0026234221990999998","-0.0033735942253","0.012396791400478002","-0.010681963057429003","0.05125884380669306","-0.06393822710345198","0.29601755586374007","-0.36825952596825"
"-20.735158820000002","0.031792212005","0.0018076438824000001","0.12170397555402401","0.008285643182302002","0.6019681315620241","0.03395725657358571","3.5061839813294253","0.19596313675678492"
"-20.624158819999998","0.07684371055","0.031749029315","0.27031171123085","0.10554986538905999","1.4172993409539103","0.589495270381182","8.264079246769635","3.4002724483504108"
"-20.51415882","0.10717320710000001","0.08002803407999999","0.3560560146621","0.24310462583395998","2.00810951055173","1.4520766400269804","11.681797630779691","8.369969319231194"
"-20.40415882","0.11023867826000001","0.1115716864","0.4098870640289999","0.3157225944569","2.4816736808283797","2.043177602922012","14.331416252525896","11.745780213609503"
"-20.29415882","0.103882425","0.1121834131","0.5206799799109999","0.34730611141600004","3.2976384326587005","2.459965814730201","18.850586074769","14.032652820071297"
"-20.183158820000003","0.11842190100000001","0.10447461970000001","0.7176534790650001","0.4388956732039999","4.645092666812602","3.2937340594796303","26.391973766712997","18.592709045541017"
"-20.073158820000003","0.15565342199999999","0.117444503","0.97834701023","0.59939677268","6.376925468790204","4.596515554226203","36.09559953887998","25.805453422452004"
"-19.963158819999997","0.162180292","0.15238014400000002","1.1770772169","0.7858045774300002","7.740296560026002","6.142870667243898","43.52414114419999","34.379412273199016"
"-19.85215882","0.12004565","0.161111619","1.2765791723000002","0.9188107785499999","8.402560036302","7.4113875625059995","46.792059006310005","41.20676507865001"
"-19.74215882","0.0862778481","0.12139150600000001","1.3275967083","0.9587855139999998","8.352469989641001","7.9425875937429975","46.20295598138001","43.74599770139997"
"-19.63215882","0.0679741482","0.08714523347","1.2112898224","0.9856332906","6.950906596348004","7.96006800313","38.379812503189","43.533046092901294"
"-19.521158819999997","0.043224353","0.0721320786","1.1313600112","0.93175601288","5.792804966359999","7.022152471824998","31.85090444506201","38.27530624926401"
"-19.411158819999997","0.023204487","0.049211604","1.3374014976999997","0.7738149719","6.380482700539999","5.332707978778999","34.85985560643001","28.983566416130007"
"-19.301158819999998","0.013811854999999998","0.024483019","1.4807881732000001","0.8043932261","6.756539727158997","4.834688547763999","36.87345154757001","26.095558742890017"
"-19.19115882","0.021432694999999998","0.01391593","1.4737403989999998","1.0463871381399998","6.602488967198002","5.677022408547002","36.1392375202","30.401247564006"
"-19.08015882","0.05172109100000001","0.026859163600000003","1.6269968908","1.2714536236","7.477089853004296","6.730132154230001","40.93383042240001","35.995922013000005"
"-18.97015882","0.0698978271","0.061405219999999996","1.8846427485000001","1.4034813967","8.893177160825001","7.582482615864002","48.51741493176001","40.69695899959999"
"-18.860158820000002","0.05536781299999999","0.07550392119999999","1.9969030389","1.3939538821000002","9.796585992270995","7.761733145561","53.27811751570002","41.699268368605004"
"-18.749158819999998","0.046598472499999995","0.0553570151","1.9910345940999998","1.4898232445","10.371687198162006","8.690521467188004","56.435480534870024","46.41045817032002"
"-18.63915882","0.0507256489","0.047009034","2.03268791628","1.7274834287729999","10.868981485157798","10.798554495484","59.36137327118602","57.25374870239402"
"-18.52915882","0.04193001935","0.051097729","1.8551900659800002","1.7136394453400001","9.668476868001898","11.40092816167","52.79852991272803","60.429600722005006"
"-18.418158820000002","0.021498555100000004","0.040082881","1.3505290548000002","1.507327124997","6.506204659283998","10.250942375363","35.16017938650201","54.79727763396499"
"-18.308158820000003","0.005446685999999999","0.020937710900000003","1.1153347080040001","1.17360554982","4.7750454667960005","7.787950204870601","25.306621092729994","41.909914334414005"
"-18.198158820000003","0.00021792800000000005","0.0065327465","1.13335501765","0.725891099031","4.6914617008675","4.470703864818","24.775020077691998","23.819276958464815"
"-18.088158819999997","-0.00038583599999999997","-0.00041322390000000003","0.9156365580000001","0.64435231302","3.7547370439377006","3.489080478465199","19.96700277401401","17.96089026687"
"-17.97715882","-0.0021605465999999995","-0.0038361152","0.9467797217299999","0.78815613065","3.713931518034771","4.171858186515202","19.942825581026998","21.231823452029005"
"-17.86715882","-0.00519598451","0.0019439394","1.33736705101","0.6750592671","5.127147199234897","3.7399936134622003","27.637119250525","19.0315510341597"
"-17.75715882","0.009945703743","0.0431927037","1.15367424657","0.570820454529","4.545743571292901","3.770146385824401","24.5198521601693","19.423308302757"
"-17.646158819999997","0.06772891029","0.09397510680000001","0.4378635411478999","0.75498502524","2.3546227867968197","5.439174260817752","12.5802710597025","28.261504409866"
"-17.536158819999997","0.1078179127092","0.07614354306000001","0.011758291009999996","0.929536349","1.1201555256199298","6.1975799939325","5.807334505562451","32.255449730793"
"-17.426158819999998","0.0632623008","0.018108664799999997","-0.0402578123973","0.782840784509","0.4568797220293097","4.61639248040824","2.3222438318865795","24.070670147202996"
"-17.31615882","0.005186244513799999","-0.0008125263300000007","-0.013425679927500002","0.3733264860017999","-0.07099065402757818","2.16789478548466","-0.3881922797998952","11.346495753389199"
"-17.20515882","-0.0028074040550300004","0.02309871591","-0.0022006457496400005","0.055115491408","0.03289064977268438","1.2279605979842","0.17869777782186103","6.517834939069998"
"-17.09515882","0.027758113835874","0.048711734549999997","0.002703547104092","-0.024185781042099997","1.0900640065662803","1.6835944664886997","5.7377268090398506","8.9631329407141"
"-16.985158820000002","0.058027294823716","0.042981934862000006","0.0059065998225397","-0.0098845068859","2.176535385653692","1.5455382345727402","11.44430758690656","8.1929701553474"
"-16.874158819999998","0.0453863335945595","0.0191993846136","0.004571982738996201","-0.0007074577686300005","1.6992539135460285","0.7111854224624883","8.92909934439926","3.74876251567545"
"-16.76415882","0.0118104452095867","0.0028817739299099995","0.0011676364518123442","-3.6403129100000065e-06","0.443075888630212","0.10686695475367443","2.3250459882592507","0.556784999570797"
"-16.65415882","-0.00222630128655261","-0.001379609360987","-0.000229665851523783","-0.00015388159177469996","-0.0830712429556406","-0.05232084409630498","-0.43718617446130575","-0.2771896438218743"
"-16.543158820000002","-0.00173358114180083","-0.0007563066932553","-0.00017363304359965","-7.124958821601e-05","-0.06494949249010477","-0.02850906025341631","-0.34109252111942406","-0.15022019588085422"
"-16.433158820000003","-0.00033549389688988","-0.000142528365947502","-3.33342771471625e-05","-1.3029688922887e-05","-0.012581620655596494","-0.0053650075022103495","-0.06605350908080958","-0.028228357690594872"
"-16.323158820000003","-2.9520491962614105e-05","-1.26719164635645e-05","-2.91973948609311e-06","-1.1468278448596999e-06","-0.0011078698033378143","-0.0004766917566134339","-0.005813649642743209","-0.0025068361381016865"
"-16.213158819999997","-1.3107314890434301e-06","-5.701347439612402e-07","-1.2925701571187302e-07","-5.1382927087778e-08","-4.922560086543871e-05","-2.144236940073495e-05","-0.0002582641417391455","-0.00011271513320621644"
"-16.10215882","-3.04389414435948e-08","-1.33495057726304e-08","-2.99573750088084e-09","-1.20102923935703e-09","-1.143575987815614e-06","-5.01858085754523e-07","-5.99946077108505e-06","-2.6390329431757685e-06"
"-15.992158819999998","-3.7548852984745495e-10","-1.65069217741908e-10","-3.69112476846431e-11","-1.4839615637239298e-11","-1.4113146904574543e-08","-6.204870187250708e-09","-7.405150914695541e-08","-3.262132715413785e-08"
