"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-5.46366","156.51338","49.71069"
"-5.41353","166.58733","24.22143"
"-5.36341","124.32792","29.44817"
"-5.31328","86.81712","49.71008"
"-5.26316","96.07074","42.82461"
"-5.21303","114.63078","24.4828"
"-5.16291","114.80206","18.54339"
"-5.11278","115.2685","29.06457"
"-5.06266","130.98332","52.93998"
"-5.01253","126.41615","29.3574"
"-4.96241","108.36408","7.47058"
"-4.91228","95.70898","0.64115"
"-4.86216","90.47351","0.0105"
"-4.81203","79.06188","3e-05"
"-4.7619","54.13244","0.0"
"-4.71178","51.86","0.0009"
"-4.66165","78.41156","0.14743"
"-4.61153","105.86467","4.11775"
"-4.5614","123.00607","23.42444"
"-4.51128","118.81807","38.97935"
"-4.46115","92.31041","46.75973"
"-4.41103","81.05247","61.43469"
"-4.3609","102.35444","61.42286"
"-4.31078","112.08335","65.43915"
"-4.26065","97.37745","60.44476"
"-4.21053","95.19787","50.07075"
"-4.1604","90.10028","59.60337"
"-4.11028","86.95432","54.75829"
"-4.06015","89.43126","47.86368"
"-4.01003","91.13764","60.0892"
"-3.9599","92.87702","67.35729"
"-3.90977","96.39919","63.67095"
"-3.85965","90.06777","73.38659"
"-3.80952","83.63754","75.65042"
"-3.7594","61.82018","69.12827"
"-3.70927","29.39976","70.12158"
"-3.65915","28.49605","82.45628"
"-3.60902","65.39683","93.53666"
"-3.5589","85.07419","73.35801"
"-3.50877","103.2521","64.70931"
"-3.45865","120.69129","76.70516"
"-3.40852","132.73782","88.04037"
"-3.3584","132.23636","84.4633"
"-3.30827","110.3451","81.13825"
"-3.25815","89.7621","80.39869"
"-3.20802","82.04086","88.6778"
"-3.15789","90.87014","100.23223"
"-3.10777","108.27771","107.65529"
"-3.05764","137.19139","107.21516"
"-3.00752","158.78397","125.86291"
"-2.95739","169.21778","153.67057"
"-2.90727","173.21952","152.11891"
"-2.85714","185.60405","132.91664"
"-2.80702","179.51726","139.59964"
"-2.75689","172.08631","160.4559"
"-2.70677","162.76686","165.86621"
"-2.65664","156.7266","150.50689"
"-2.60652","135.75539","119.72842"
"-2.55639","111.88276","119.24336"
"-2.50627","115.68307","118.28453"
"-2.45614","108.51566","116.91119"
"-2.40602","107.92301","125.08171"
"-2.35589","115.41674","123.67604"
"-2.30576","104.56558","120.21987"
"-2.25564","98.00102","115.29538"
"-2.20551","93.73862","110.48458"
"-2.15539","90.53674","105.99329"
"-2.10526","91.22145","98.45416"
