"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"0.05013","13.171739999999998","0.24454000000000004","0.9090999999999999","0.10923000000000005","50.47874999999999","10.165560000000001"
"0.10025","7.201690000000001","0.02182","0.42836","0.009739999999999997","24.493949999999998","0.9108300000000001"
"0.15038","2.72134","0.00023","0.11488000000000002","0.00012","8.343880000000002","0.01314"
"0.2005","0.39891000000000004","0.0","0.014859999999999996","0.0","1.19426","2e-05"
"0.25063","0.011579999999999998","0.0","0.00035999999999999997","0.0","0.03464999999999999","0.0"
"0.30075","0.00028000000000000003","0.0","0.0","0.0","0.0005200000000000001","0.0"
"0.35088","0.04982999999999999","0.0","0.0017900000000000008","0.0","0.08439999999999995","0.0"
"0.401","1.52903","0.0","0.05594000000000003","0.0","2.5905299999999993","0.0"
"0.45113","9.903789999999999","0.0","0.35068","0.0","16.836160000000007","0.0"
"0.50125","19.125069999999997","0.0","0.6355600000000003","0.0","32.57278000000001","0.0"
"0.55138","19.21334","0.0","0.59567","0.0","32.61618999999998","0.0"
"0.6015","7.8572","0.0","0.23705","0.0","13.30864","0.0"
"0.65163","0.73484","0.0","0.021849999999999974","0.0","1.2440500000000005","0.0"
"0.70175","0.01221","9e-05","0.00032","0.0","0.02079999999999999","1e-05"
"0.75188","0.0","0.02485","0.0","7.000000000000001e-05","0.0","0.00597"
"0.80201","0.0","0.96888","0.0","0.0031300000000000004","0.0","0.23531"
"0.85213","0.0","6.247189999999999","0.0","0.020419999999999994","0.0","1.5180999999999996"
"0.90226","0.0","7.2348099999999995","0.0","0.02387","0.0","1.7578200000000002"
"0.95238","0.0","2.4489099999999997","0.0","0.014839999999999999","0.0","0.5807800000000002"
"1.00251","0.0","6.27323","0.0","0.06594999999999997","0.0","1.43083"
"1.05263","0.0","7.309380000000001","0.0","0.07731999999999999","0.0","1.6662499999999993"
"1.10276","0.0","1.55003","0.0","0.016349999999999993","0.0","0.35322000000000003"
"1.15288","0.0","0.05528","0.0","0.0005600000000000001","0.0","0.012509999999999999"
"1.20301","0.0","0.00212","0.0","3.0000000000000004e-05","0.0","0.00044"
"1.25313","0.0","0.23394000000000004","0.0","0.0049700000000000005","0.0","0.04845999999999999"
"1.30326","0.0","4.678660000000001","0.0","0.10007999999999999","0.0","0.9713000000000004"
"1.35338","0.0","16.209069999999997","0.0","0.34626999999999997","0.0","3.364380000000001"
"1.40351","0.0","13.328170000000002","0.0","0.27238","0.0","2.540869999999999"
"1.45363","0.0","31.27076","0.0","0.5335599999999998","0.0","4.149920000000001"
"1.50376","0.0","59.145059999999994","0.0","0.9924499999999998","0.0","8.211590000000001"
"1.55388","0.0","43.02614000000001","0.0","0.7758800000000001","0.0","8.634250000000002"
"1.60401","0.0","42.436789999999995","0.0","0.6740100000000001","0.0","8.762049999999999"
"1.65414","0.0","56.6587","0.0","0.7887000000000001","0.0","9.85108"
"1.70426","0.0","37.51046999999999","0.0","0.48923","0.0","5.739730000000001"
"1.75439","0.0","13.598620000000002","0.0","0.1537","0.0","1.8183300000000007"
"1.80451","0.0","1.4878099999999999","0.0","0.015729999999999994","0.0","0.19188"
"1.85464","0.0","0.2768500000000001","0.0","0.007169999999999992","0.0","0.11344999999999997"
"1.90476","0.0","5.51548","0.0","0.15361000000000008","0.0","2.4512099999999997"
"1.95489","0.0","25.61454","0.0","0.6951500000000002","0.0","11.380180000000001"
"2.00501","0.0","42.10086","0.0","1.0789300000000004","0.0","18.718030000000002"
"2.05514","0.0","45.205349999999996","0.0","1.17156","0.0","20.041410000000003"
"2.10526","0.0","44.246500000000005","0.0","1.1805000000000012","0.0","19.299269999999996"
"2.15539","0.0","28.4191","0.0","0.7893500000000001","0.0","13.136529999999997"
"2.20551","0.0","10.30767","0.0","0.30631999999999976","0.0","5.17376"
"2.25564","0.0","1.2018499999999999","0.0","0.03628","0.0","0.6170900000000002"
"2.30576","0.0","0.02684","0.0","0.0007700000000000002","0.0","0.013629999999999996"
"2.35589","0.0","8e-05","0.0","0.0","0.0","2e-05"
"2.40602","0.0","0.0","0.0","0.0","0.0","0.0"
"2.45614","0.0","0.0","0.0","0.0","0.0","0.0"
"2.50627","0.0","0.0008900000000000001","0.0","0.0","0.0","0.00031"
"2.55639","0.0","0.12868","0.0","0.003980000000000002","0.0","0.044789999999999996"
"2.60652","0.0","2.9428399999999995","0.0","0.08907000000000004","0.0","1.0306400000000002"
"2.65664","0.0","12.79989","0.0","0.37315000000000004","0.0","4.49747"
"2.70677","0.0","13.453470000000001","0.0","0.42099999999999993","0.0","4.785300000000002"
"2.75689","0.00013000000000000002","9.13866","0.00025","0.4055400000000002","0.0","3.3687000000000005"
"2.80702","0.01679","4.076620000000001","0.04673000000000002","0.19977999999999999","0.013139999999999994","1.5187599999999997"
"2.85714","0.33206999999999987","0.6724099999999998","0.9205500000000001","0.03615","0.26317999999999997","0.23573000000000002"
"2.90727","1.2196500000000003","5.628090000000001","3.421590000000001","0.4255500000000003","0.9813099999999997","1.8205599999999997"
"2.95739","1.53161","21.388499999999997","4.5639699999999985","2.6136700000000013","1.33046","7.12162"
"3.00752","1.6821300000000003","19.22887","5.261819999999997","4.84236","1.5618400000000001","6.841879999999998"
"3.05764","1.10616","16.082150000000002","3.479179999999998","5.89149","1.04172","5.973210000000001"
"3.10777","0.24104000000000003","13.621139999999999","0.7815600000000004","5.50436","0.23667000000000002","5.2038899999999995"
"3.15789","0.3972699999999999","3.2874399999999997","1.6424999999999985","2.0394799999999997","0.5260699999999999","1.41581"
"3.20802","1.5639100000000006","0.9455200000000001","6.712379999999999","1.4750500000000002","2.1435500000000007","0.5269700000000002"
"3.25815","2.079580000000001","7.47624","9.357040000000003","6.36294","2.9809099999999997","2.2463100000000003"
"3.30827","1.3731900000000004","28.33486","6.6452199999999975","10.065980000000001","2.1377099999999998","4.17966"
"3.3584","1.3034499999999993","54.53761","6.52554","8.484539999999997","2.1575100000000003","4.732990000000001"
"3.40852","1.9997700000000003","76.09717","9.927909999999995","10.272469999999998","3.3869799999999994","6.1084700000000005"
"3.45865","2.23819","90.67672","10.342930000000003","14.24325","3.6376299999999997","7.932199999999997"
"3.50877","1.3591699999999998","102.29723999999999","6.34177","12.832950000000006","2.2575499999999993","7.77323"
