"energy_eV_rel_EF","Al_total_up","Al_total_down","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-5.41353","1.0510000000000002","2.4050599999999998","43.76318","3.8159500000000004","2.258690000000001","5.2683","41.40932","48.26716999999998"
"-5.36341","0.86644","1.83493","40.49381999999999","3.2511500000000004","2.0508400000000004","3.9601999999999995","38.35607000000001","38.74749"
"-5.31328","0.8319300000000001","1.06272","39.49267","3.8181","1.9851799999999997","3.734420000000003","36.54493","36.291470000000004"
"-5.26316","1.0882100000000001","1.09978","45.02839","4.2584800000000005","2.3537600000000007","4.1548099999999994","42.33766000000001","38.80218"
"-5.21303","1.22881","1.32114","44.12670000000001","3.9752999999999994","2.5625500000000008","3.0414899999999996","43.746539999999996","36.23694"
"-5.16291","1.21248","1.17691","38.82946","3.8878999999999997","2.618740000000001","3.1233499999999994","42.54471000000001","37.690490000000004"
"-5.11278","1.23067","1.23191","38.76729","3.6082700000000005","2.944600000000001","3.413740000000001","46.14608000000001","39.09892999999999"
"-5.06266","1.35675","1.1939700000000002","41.42514","3.2661800000000003","3.6213399999999982","3.3342000000000005","53.41738999999999","38.008649999999996"
"-5.01253","1.41568","1.14656","42.26072","4.07173","4.01948","4.348629999999997","58.041320000000006","47.79018000000001"
"-4.96241","1.29772","1.17722","41.588950000000004","4.37223","3.94476","3.8644000000000007","58.388720000000006","46.42449"
"-4.91228","1.09609","1.0996700000000001","37.70885","3.90356","3.45306","2.23662","52.146910000000005","34.46229"
"-4.86216","0.9752500000000002","1.4069099999999999","35.4488","3.5601600000000007","3.001020000000001","1.8289100000000005","46.250009999999996","33.45549000000001"
"-4.81203","1.0003","2.21839","36.77694","3.4000500000000002","2.9256999999999995","2.5036500000000004","45.386390000000006","41.911490000000015"
"-4.7619","1.10145","2.7284900000000003","38.99358","4.0603","3.0834700000000006","3.04854","46.88713999999999","51.01984000000001"
"-4.71178","1.33411","2.36754","43.45968","4.87027","3.538809999999999","2.559740000000001","51.089729999999996","51.20431000000002"
"-4.66165","1.49047","2.1218600000000003","43.48764","5.515769999999999","3.6798400000000018","1.8830200000000001","52.646020000000014","51.09791000000001"
"-4.61153","1.45307","2.17453","43.170660000000005","5.92317","3.4957900000000013","1.5207799999999998","52.37803","53.15986999999999"
