"energy_eV_rel_EF","Al_total_up","Al_total_down","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-22.773825640000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.66282564","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.552825640000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-22.44182564","-8.124234622810001e-32","0.0","-3.264022151502561e-31","0.0","-1.5907904759620303e-30","0.0","-9.20238883963054e-30","0.0"
"-22.33182564","-5.6624190502900005e-28","-4.4149454206089996e-32","-2.2746293392793195e-27","-1.49210817577606e-31","-1.1086083116722212e-26","-8.441780371299997e-31","-6.413632210925391e-26","-4.8231879933791336e-30"
"-22.22082564","-2.129421461303e-24","-3.21735721192e-28","-8.5550026908309e-24","-1.0870942112427102e-27","-4.1699257992912e-23","-6.150341183163098e-27","-2.4125200955099253e-22","-3.5144178049595255e-26"
"-22.10982564","-4.32457851501e-21","-1.2644920062230002e-24","-1.7370898792359995e-20","-4.2731427993473e-24","-8.4671941624644e-20","-2.4177417972973007e-23","-4.8982832714823415e-19","-1.381568083331443e-22"
"-21.99982564","-4.73526302408e-18","-2.6831999649929998e-21","-1.90186716767564e-17","-9.068778096490297e-21","-9.271471808764002e-17","-5.130983127164399e-20","-5.363504037106736e-16","-2.932189833889686e-19"
"-21.88882564","-2.70441783592e-15","-3.0731192447610003e-18","-1.08625835665602e-14","-1.0381550460233002e-17","-5.2956984258801025e-14","-5.874230054511203e-17","-3.063957113777099e-13","-3.357587553935451e-16"
"-21.77882564","-8.526226016940001e-13","-1.837415064633e-15","-3.4231174089498008e-12","-6.207274622095599e-15","-1.6691601261602902e-11","-3.5118883738999007e-14","-9.658035497689648e-11","-2.007648176813338e-13"
"-21.66782564","-1.4395099334349999e-10","-6.062447059789999e-13","-5.7768173228901e-10","-2.0483214267553e-12","-2.8177039239660994e-09","-1.1591510310922996e-11","-1.630851656929299e-08","-6.626117972967055e-11"
"-21.55782564","-1.297027694943e-08","-1.072642272328e-10","-5.2018493528932e-08","-3.6236730218613003e-10","-2.5383762897781994e-07","-2.0510775537972995e-09","-1.4697797590078082e-06","-1.1729169250887698e-08"
"-21.44682564","-6.199428608110001e-07","-1.0142352523329998e-08","-2.4829153426870995e-06","-3.4253602269788e-08","-1.2129753217314494e-05","-1.9395957768467e-07","-7.025626056698823e-05","-1.1096312844608815e-06"
"-21.33682564","-1.5541154952999998e-05","-5.095652214019999e-07","-6.209562718106e-05","-1.7198949774386002e-06","-0.00030399709602666","-9.747380877441894e-06","-0.0017625006480732524","-5.5790703206306634e-05"
"-21.22582564","-0.000199723766163","-1.3462893357099997e-05","-0.0007942464591316001","-4.5374132019621014e-05","-0.0039060897558712993","-0.00025760929336340996","-0.02266968620065502","-0.0014757986627349352"
"-21.114825640000003","-0.0012398316872900001","-0.000183024124847","-0.0048728812713339995","-0.00061482850943331","-0.024238717596754","-0.0035049319973548994","-0.14094545117542337","-0.020101584451666602"
"-21.00482564","-0.0029261219284799998","-0.0012113728527399998","-0.011013092540226","-0.0040321639002303","-0.057233610698872034","-0.023229381475392007","-0.33386413928534214","-0.13343836499180603"
"-20.893825640000003","0.003155131368000001","-0.0031558398818000003","0.014814179892059002","-0.010148586214226003","0.060325801068039905","-0.06074928515888","0.34940049416440083","-0.3497900165601841"
"-20.78382564","0.0308172449307","0.0023561429504999998","0.12170686348024001","0.009811190768493998","0.5878861961132731","0.04333554095877229","3.4293302129063337","0.24801635210583314"
"-20.672825640000003","0.07329669579","0.031020065743392","0.26545602802657203","0.10433906504442998","1.374559299566908","0.5818839962049351","8.023147963378568","3.352426527720571"
"-20.56282564","0.10457171879999999","0.076477840757","0.3549918609104999","0.23684685135562653","1.9987422363558007","1.4138560680572094","11.631494174524098","8.146845154253583"
"-20.451825640000003","0.10832806270999999","0.10823627570000001","0.40174613387999997","0.31245444353680996","2.445203845121101","2.0308879752203204","14.107217351275198","11.67256753621129"
"-20.340825640000002","0.10039506869999999","0.10997291320000001","0.5007718870910001","0.34005406717199993","3.1935933397145986","2.42810453690234","18.213046916371","13.840742481766895"
