"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-21.685224950000002","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.57922495","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.473224950000002","0.0","0.0","0.0","0.0","0.0","0.0"
"-21.36722495","-2.0160663934669e-31","0.0","-5.106956616972899e-31","0.0","-3.0123633025087988e-30","0.0"
"-21.26222495","-1.0572657977448001e-27","-2.1354797296719997e-30","-2.678583710109698e-27","-7.165435870159997e-30","-1.5802203142901995e-26","-3.872143252080298e-29"
"-21.156224950000002","-3.1494799089919996e-24","-9.928464057789999e-27","-7.980508793736107e-24","-3.3296734165130025e-26","-4.70678342878e-23","-1.7986829532163994e-25"
"-21.05022495","-5.325289662242e-21","-2.61440868787e-23","-1.3496555770609996e-20","-8.765156776909996e-23","-7.960853522902001e-20","-4.733645426463e-22"
"-20.944224950000002","-5.108784076849998e-18","-3.929393973950001e-20","-1.2949852329715001e-17","-1.3168829369579996e-19","-7.636780725335003e-17","-7.111111323847999e-19"
"-20.83822495","-2.7026784814879994e-15","-3.37158637501e-17","-6.8532092675224e-15","-1.1295935801279995e-16","-4.040519851768e-14","-6.097432670550997e-16"
"-20.732224950000003","-8.243758420080004e-13","-1.5973735913700002e-14","-2.0918120856296e-12","-5.3491756172879985e-14","-1.2331257412996e-11","-2.8867502582620005e-13"
"-20.62622495","-1.422833784673e-10","-4.44138764358e-12","-3.6153402838940997e-10","-1.486535649836e-11","-2.1300100957480007e-09","-8.01961556771e-11"
"-20.520224950000003","-1.3828911558300001e-08","-7.007042715999999e-10","-3.5217460972110006e-08","-2.3433919922270003e-09","-2.0728910503510018e-07","-1.2637236510725992e-08"
"-20.41422495","-7.544807302900002e-07","-6.261221924300001e-08","-1.9299196152969986e-06","-2.092262089335998e-07","-1.133755621422e-05","-1.1278966660573996e-06"
"-20.30822495","-2.3018727108000005e-05","-3.149198606580001e-06","-5.935502455068001e-05","-1.0512477778739996e-05","-0.0003474989040989998","-5.6637469644420006e-05"
"-20.20222495","-0.0003905120777600002","-8.810619363400003e-05","-0.0010216151310569997","-0.00029380851813409997","-0.005944709518170001","-0.0015818423882460002"
"-20.09622495","-0.003635348879000001","-0.00133971841317","-0.009764190472480002","-0.004463088658659999","-0.05618550101799998","-0.02401431244951999"
"-19.99022495","-0.017809874418000003","-0.0105083281275","-0.050149348724600015","-0.03498008469181001","-0.28301087265","-0.18803424140050004"
