"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-4.6311588200000005","97.08","51.58"
"-4.52115882","99.83","54.3"
"-4.41115882","98.01","62.15"
"-4.30015882","95.77","65.91"
"-4.19015882","94.71","60.68"
"-4.08015882","92.01","63.84"
"-3.97015882","90.41","79.09"
"-3.85915882","92.95","89.05"
"-3.74915882","96.21","89.54"
"-3.6391588200000005","96.68","89.07"
"-3.52815882","99.27","94.43"
"-3.4181588200000004","104.6","102.5"
"-3.30815882","108.4","103.2"
"-3.1971588200000003","114.0","95.94"
"-3.08715882","121.1","91.76"
"-2.9771588199999997","123.4","99.07"
"-2.86715882","120.4","108.1"
"-2.7561588200000005","115.7","104.1"
"-2.64615882","109.8","89.79"
"-2.53615882","100.5","75.72"
"-2.42515882","88.71","67.14"
"-2.3151588199999997","78.77","68.34"
"-2.2051588200000003","71.03","80.52"
"-2.09515882","65.94","95.34"
"-1.9841588200000002","67.58","103.9"
"-1.87415882","72.3","101.6"
"-1.7641588200000005","71.7","85.67"
"-1.6531588199999998","67.07","68.12"
"-1.5431588200000004","64.64","66.53"
"-1.43315882","63.88","78.43"
"-1.3221588200000003","59.56","95.54"
"-1.21215882","55.43","109.7"
"-1.1021588199999997","57.16","108.3"
"-0.9921588200000002","63.3","93.26"
"-0.8811588200000005","72.19","80.71"
"-0.7711588200000001","74.08","68.28"
"-0.6611588200000003","66.97","47.11"
"-0.55015882","63.89","30.94"
"-0.4401588200000002","64.26","30.19"
"-0.33015881999999985","60.77","29.58"
"-0.2191588200000001","64.23","20.11"
"-0.10915882000000021","73.16","16.24"
"0.000841180000000108","61.0","16.79"
"0.11084117999999998","27.08","9.657"
"0.22184117999999975","2.441","1.469"
"0.33184118000000007","-2.557","-0.7772"
"0.44184117999999994","-0.9985","-0.3568"
"0.5528411800000002","-0.1519","-0.0571"
"0.66284118","-0.01134","-0.004351"
"0.7728411799999999","-0.000441","-0.0001741"
"0.8838411800000001","-9.133e-06","-0.0002306"
"0.99384118","-1.018e-07","-0.006073"
"1.1038411799999999","-6.141e-10","-0.08441"
"1.2138411799999997","-9.169e-11","-0.5804"
"1.32484118","-1.523e-08","-1.649"
"1.4348411799999998","-1.383e-06","0.6112"
"1.54484118","-6.652e-05","15.23"
"1.65584118","-0.001664","41.5"
"1.76584118","-0.02087","58.89"
"1.8758411799999999","-0.1191","48.21"
"1.98584118","-0.1918","23.99"
"2.09684118","0.6868","15.43"
"2.2068411799999996","2.956","20.97"
"2.31684118","4.352","26.53"
"2.4278411799999997","4.204","28.55"
"2.53784118","4.219","27.11"
"2.64784118","4.76","23.69"
"2.75884118","5.964","22.79"
"2.86884118","7.465","28.89"
"2.97884118","9.214","45.42"
"3.0888411799999997","11.02","70.05"
"3.19984118","11.85","88.3"
"3.30984118","11.98","92.59"
"3.41984118","12.48","86.23"
"3.53084118","13.37","73.04"
"3.64084118","14.21","64.89"
"3.75084118","15.15","65.64"
"3.86184118","16.74","67.82"
"3.97184118","19.69","72.79"
"4.08184118","23.52","82.23"
"4.19184118","24.44","90.06"
"4.30284118","23.55","93.49"
"4.41284118","24.63","93.19"
"4.52284118","26.64","87.93"
"4.63384118","29.68","79.8"
"4.74384118","32.92","71.41"
"4.85384118","34.61","61.81"
"4.96484118","37.74","52.37"
"5.07484118","42.78","46.8"
"5.184841179999999","45.21","47.62"
"5.29484118","44.94","50.06"
"5.4058411799999995","46.79","49.14"
"5.51584118","53.0","49.61"
"5.62584118","58.41","55.22"
"5.73684118","59.24","60.25"
"5.84684118","60.05","60.91"
"5.95684118","63.85","61.84"
"6.06684118","65.92","65.11"
"6.17784118","65.14","65.76"
"6.28784118","68.09","65.65"
"6.39784118","74.42","70.39"
"6.50884118","78.29","75.19"
"6.61884118","79.61","76.91"
"6.72884118","80.12","78.18"
"6.8398411800000005","80.83","79.44"
"6.94984118","82.68","81.37"
"7.059841179999999","85.56","84.62"
"7.169841180000001","88.29","87.37"
"7.2808411799999995","90.58","87.91"
"7.39084118","92.31","87.88"
"7.50084118","91.83","88.7"
"7.61184118","90.1","89.65"
"7.72184118","91.2","90.74"
"7.83184118","95.66","92.28"
