"energy_eV_rel_EF","TDOS_up","TDOS_down"
"-4.86382564","94.34","45.45"
"-4.752825639999999","95.12","47.64"
"-4.64282564","96.89","50.57"
"-4.531825639999999","98.01","54.29"
"-4.42082564","98.77","63.29"
"-4.310825640000001","99.61","66.12"
"-4.19982564","97.25","60.1"
"-4.089825640000001","91.35","64.45"
"-3.9788256399999997","89.03","80.82"
"-3.8688256400000003","92.88","90.42"
"-3.7578256399999996","96.23","90.64"
"-3.64782564","96.63","91.02"
"-3.5368256400000004","99.97","95.95"
"-3.42582564","106.1","101.3"
"-3.3158256400000004","110.8","100.7"
"-3.2048256399999997","115.4","94.72"
"-3.0948256400000003","120.1","91.88"
"-2.9838256399999996","122.0","98.77"
"-2.87382564","120.5","107.4"
"-2.7628256400000004","116.2","102.3"
"-2.65282564","109.6","85.42"
"-2.5418256400000003","99.9","72.8"
"-2.4308256399999997","87.96","70.22"
"-2.3208256400000002","77.92","75.28"
"-2.2098256399999996","70.11","85.2"
"-2.09982564","64.72","95.0"
"-1.9888256400000004","66.69","103.4"
"-1.87882564","72.19","102.7"
"-1.7678256400000003","71.34","84.03"
"-1.65782564","66.05","65.31"
"-1.5468256400000002","63.19","66.73"
"-1.4358256400000005","63.09","78.86"
"-1.3258256400000001","59.96","91.9"
"-1.2148256400000004","57.09","103.4"
"-1.10482564","60.79","102.4"
"-0.9938256400000003","68.11","90.58"
"-0.88382564","73.74","80.83"
"-0.7728256400000002","70.61","68.46"
"-0.6628256399999999","62.98","47.71"
"-0.5518256400000001","60.15","30.86"
"-0.4408256399999999","62.15","27.52"
"-0.33082564000000003","65.82","28.0"
"-0.21982563999999982","69.12","20.21"
"-0.10982563999999995","67.81","16.18"
"0.0011743599999998189","52.63","17.91"
"0.11117436000000014","24.43","10.91"
"0.2221743599999999","2.99","1.663"
"0.3321743599999998","-2.172","0.3411"
"0.44317436","-0.9485","3.193"
"0.5541743599999998","-0.1522","3.542"
"0.6641743600000001","-0.01175","1.226"
"0.7751743599999998","-0.0004669","-0.1116"
"0.8851743600000002","-9.791e-06","-0.1507"
"0.9961743599999999","-1.097e-07","-0.03559"
"1.1061743599999998","-6.628e-10","-0.05947"
"1.21717436","-5.46e-10","-0.4239"
"1.32817436","-7.585e-08","-1.434"
"1.4381743599999999","-5.621e-06","-0.5376"
"1.54917436","-0.0002187","11.13"
"1.65917436","-0.004368","37.56"
"1.77017436","-0.04256","58.47"
"1.88017436","-0.1733","49.46"
"1.99117436","-0.05394","25.25"
"2.10117436","1.424","16.59"
"2.2121743599999997","3.667","23.14"
"2.32317436","4.259","29.43"
"2.4331743599999998","4.097","31.49"
"2.54417436","4.458","29.85"
"2.65417436","5.066","25.11"
"2.76517436","6.084","23.64"
"2.87517436","7.627","30.16"
"2.98617436","9.538","47.08"
"3.09617436","11.2","70.7"
"3.20717436","11.89","88.6"
"3.31817436","12.06","93.79"
"3.42817436","12.41","86.09"
"3.53917436","13.07","72.1"
"3.64917436","13.98","64.96"
"3.76017436","15.53","66.42"
"3.87017436","17.68","68.5"
"3.98117436","20.62","72.54"
"4.09117436","24.03","81.87"
"4.20217436","24.66","90.45"
"4.31317436","24.0","94.47"
"4.42317436","25.13","94.56"
"4.53417436","26.99","87.5"
"4.64417436","29.88","76.49"
"4.75517436","32.83","67.84"
"4.86517436","34.7","59.83"
"4.97617436","38.17","51.29"
"5.08617436","43.01","46.25"
"5.19717436","45.27","47.78"
"5.30817436","45.32","50.24"
"5.41817436","47.8","49.25"
"5.52917436","54.27","50.44"
"5.63917436","58.79","56.46"
"5.75017436","58.87","60.54"
"5.86017436","60.37","60.42"
"5.97117436","64.59","62.03"
"6.08117436","66.06","65.57"
"6.19217436","65.65","65.79"
"6.30317436","69.53","66.41"
"6.41317436","75.49","71.67"
"6.52417436","78.69","75.93"
"6.634174359999999","79.86","77.39"
"6.74517436","80.26","78.61"
"6.8551743599999995","80.75","79.7"
"6.96617436","82.7","81.47"
"7.0761743599999996","85.74","84.75"
"7.18717436","88.65","87.45"
"7.29817436","91.12","87.96"
"7.40817436","92.3","88.1"
"7.519174359999999","90.94","88.7"
"7.62917436","89.45","89.38"
"7.740174359999999","92.06","90.63"
"7.8501743600000005","97.57","92.86"
"7.961174359999999","101.4","96.34"
"8.07117436","99.1","99.08"
"8.18217436","82.43","96.69"
"8.29317436","47.46","80.74"
"8.40317436","13.01","46.18"
"8.51417436","-1.452","12.0"
"8.62417436","-1.974","-1.764"
"8.73517436","-0.5196","-1.921"
"8.84517436","-0.06346","-0.4738"
"8.95617436","-0.004026","-0.05476"
"9.06617436","-0.0001373","-0.003296"
"9.17717436","-2.55e-06","-0.0001066"
"9.28817436","-2.593e-08","-1.877e-06"
"9.39817436","-1.446e-10","-1.804e-08"
"9.50917436","-4.439e-13","-9.479e-11"
"9.61917436","-5.021e-16","-2.726e-13"
"9.73017436","0.0","0.0"
"9.84017436","0.0","0.0"
"9.95117436","0.0","0.0"
"10.06117436","0.0","0.0"
"10.17217436","0.0","0.0"
"10.28317436","0.0","0.0"
"10.39317436","0.0","0.0"
